Site,Position,k,a95,dec,inc,PLon,PLat,PLong_smooth,PLat_smooth
17,667,319,5.1,286.5,-8.9,165.3,7.8,,
22,645,1322,6.9,254.8,-5.8,189.7,-12.5,,
23,628,2495,5,272.1,16.5,184.3,7.6,180.4,3.4
24,615,198,6.5,266.9,13.1,187.3,2.8,183.5,0.1
16,612,569,2.8,281.2,8.8,175.4,10.9,181.9,2.1
21,594,1244,2.6,264.2,-11.9,180.6,-8.3,181.9,-1.1
20,579,80,10.3,267.2,-2.2,181.8,-2.7,180.8,-1.3
15,557,143,4.3,261.7,-6.8,184.3,-8.2,182.3,-4.9
14,535,176,3.9,267.2,-0.1,181.8,2,182.1,-3.7
13,515,261,5.7,263.1,-7.5,182.9,-7.4,181.3,-2.9
12,486,270,7.5,269.1,-3.8,179.9,-2,177.2,0.7
18,407,90,8.1,273.1,-2.3,177.4,1.3,175.9,2.7
19,271,787,3.3,288.7,-8.4,163.8,9.5,176.7,3.6
6,84,90,13.1,282,10,175.1,11.9,175,6.5
35,73,721,4.6,263.1,5.5,187,-2.7,178.3,8.8
5,52,97,12.6,285,5.6,171.3,12.2,179.7,9.4
34,28,877,2.3,250.9,1.6,194.5,12.4,179.6,10.8
4,21,2065,2,285.5,4.9,170.4,12.4,176.9,12.9
40,15,278,5.5,287.4,19,174.4,19,178.4,12.8
3,9,2558,4.9,279.9,2.8,174.2,7.8,175.6,9.2
2,-17,275,7.4,279.3,14,178.5,11.6,177.5,8.4
7,-47,,,266.6,-7.3,180.4,-5,175.8,6.8
8,-65,10,25.7,276,11.7,180.1,8.4,176.1,9.8
9,-81,13,35.3,288,-3.6,165.9,10.9,179.3,8.1
33,-100,301,5.3,289.4,25.6,175.5,23,179,10.6
10,-122,,,261.9,21.7,194,2.7,177.5,10.2
32,-137,,,275.6,9.3,179.2,7.2,178.5,9.4
11,-138,136,10.6,280,-0.6,172.9,6.6,180.7,4.8
31,-167,,,281.6,-2.2,170.8,7.2,177,6.6
30,-183,,,265.2,9,186.7,0.1,,
41,-200,136,7.9,281.5,10.2,175.5,11.6,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
