site,n,dec,inc,crn_lat,crn_lon,feetN,feetE,feetN_in_lat,feetE_in_lon,lat,lon,notes
R36-2,,251.5,32.2,47.2714213,-88.3625035,800,-2450,364751,248261,47.27361458,-88.37237215,
R36-3,,233.1,54,47.2714213,-88.3625035,880,-2500,364751,248261,47.2738339,-88.37257355,
R36-4,,276.5,11.2,47.2714213,-88.3625035,850,-2500,364751,248261,47.27375166,-88.37257355,
R36-5,,285.5,45.5,47.2714213,-88.3625035,890,-2570,364751,248261,47.27386132,-88.37285551,
R36-6,,246.2,2.2,47.2714213,-88.3625035,860,-2510,364751,248261,47.27377907,-88.37261383,
R36-7,,239.9,36,47.2714213,-88.3625035,860,-2520,364751,248261,47.27377907,-88.37265411,
R62-1,,296.1,15.1,47.2715613,-88.3835434,2550,3350,364751,248260,47.27855237,-88.37004948,
R62-2,,305.3,18.5,47.2715613,-88.3835434,2600,3330,364751,248260,47.27868945,-88.37013004,
R62-3,,297.8,27.9,47.2715613,-88.3835434,2600,3300,364751,248260,47.27868945,-88.37025088,
R62-4,,301.6,18,47.2715613,-88.3835434,2650,3260,364751,248260,47.27882653,-88.37041201,
R62-5,,283.9,33.5,47.2715613,-88.3835434,2700,3200,364751,248260,47.27896361,-88.37065369,
R62-6,,285.5,18.2,47.2715613,-88.3835434,2800,3100,364751,248260,47.27923777,-88.37105649,
IB74,6,260.8,29.3,46.4775416,-90.114063,600,-2150,364700,251949,46.47918679,-90.12259647,
IB75,4,257.6,21.7,46.4775416,-90.114063,650,-2150,364700,251949,46.47932389,-90.12259647,
IB76,6,258.1,44.4,46.4775416,-90.114063,750,-2150,364700,251949,46.47959808,-90.12259647,
IB301,5,274.7,53.8,46.4922515,-90.155983,-1800,-2000,364701,251881,46.48731595,-90.16392326,
IB303,6,258.2,52.6,46.4922515,-90.155983,-1850,-2050,364701,251881,46.48717885,-90.16412176,
IB306,4,268.1,17.9,46.4775416,-90.114063,700,-2200,364700,251949,46.47946099,-90.12279493,
IB322,5,261.3,38.1,46.4775416,-90.114063,590,-2150,364700,251949,46.47915937,-90.12259647,
MK216,5,282.6,30.9,46.6073882,-90.0945279,-2600,1300,364708,251349,46.60025921,-90.08935581,
MK217,5,283,28.1,46.6073882,-90.0945279,-2620,1320,364708,251349,46.60020437,-90.08927624,
MK218,5,286.3,29.4,46.6073882,-90.0945279,-2640,1320,364708,251349,46.60014953,-90.08927624,
MK219,5,279.4,35,46.6073882,-90.0945279,-2680,1350,364708,251349,46.60003986,-90.08915688,
MK316,5,287.8,39.5,46.6218131,-90.0736285,-1200,-1200,364709,251283,46.61852281,-90.07840399,
MK317,4,229.9,28.5,46.6218131,-90.0736285,-1500,-900,364709,251283,46.61770023,-90.07721012,
MK318,4,282,32.6,46.6218131,-90.0736285,-1750,-850,364709,251283,46.61701475,-90.07701114,
MK319,4,275,29.1,46.6218131,-90.0736285,-2200,-1100,364709,251283,46.61578089,-90.07800603,
MK320,4,278.4,31.9,46.6218131,-90.0736285,-2200,-1300,364709,251283,46.61578089,-90.07880195,
NS254,3,291.1,46.4,47.5726436,-90.8524162,-2800,850,364770,246849,47.56496753,-90.8489728,
NS255,4,293.6,47.8,47.5726436,-90.8524162,-500,3300,364770,246849,47.57127287,-90.8390477,
NS256,5,286.6,32.4,47.5870968,-90.830999,-1650,2850,364771,246781,47.58257341,-90.8194503,
NS263,4,298.3,52.1,47.6015248,-90.7883002,-650,-50,364772,246713,47.59974286,-90.78850286,
NS381,5,296,51.1,47.5583413,-90.8738252,-750,-50,364769,246916,47.5562852,-90.8740277,
NS370,5,285,54.2,47.6158251,-90.7667716,-2250,-1350,364773,246646,47.60965688,-90.77224503,
NS382,3,287.8,37.4,47.5583413,-90.8738252,-1000,-100,364769,246916,47.55559984,-90.8742302,
NS372,4,288.8,43.3,47.6158251,-90.7667716,-1850,-1600,364773,246646,47.61075345,-90.77325863,
NS379,3,279.2,51.9,47.5583413,-90.8738252,-400,-700,364769,246916,47.55724472,-90.87666017,
NS371,4,285.2,41.6,47.6158251,-90.7667716,-2100,-1400,364773,246646,47.61006809,-90.77244775,
NS380,3,299.4,57.3,47.5583413,-90.8738252,-10,-856,364769,246916,47.55831389,-90.87729197,
NS262,5,286.6,40.1,47.644464,-90.6814522,-150,-1300,364775,246511,47.64405279,-90.6867258,
NS261,5,282.4,43.4,47.6730176,-90.6178981,-2000,-1050,364777,246377,47.6675348,-90.62215986,
NS260,5,279,44.8,47.6874814,-90.5963642,-4650,-1750,364778,246309,47.67473392,-90.6034691,
NS259,5,292.8,52.8,47.6874814,-90.5963642,-3700,-250,364778,246309,47.67733824,-90.59737919,
NS258,5,289.1,45.7,47.6874814,-90.5963642,-2600,1350,364778,246309,47.68035378,-90.59088328,
NS264,4,289,43.9,,,,,,,,,
NS257,5,292.4,43.6,47.7162313,-90.5105629,-1600,2050,364779,246173,47.71184508,-90.50223542,
NS377,5,291.8,32.1,47.7306452,-90.4895338,-4850,1050,364780,246105,47.71734951,-90.48526733,
NS171,4,297.4,37.5,47.7160925,-90.4895142,450,1950,364779,246174,47.71732612,-90.48159297,
NS170,5,291.1,34.1,47.7160925,-90.4895142,450,2000,364779,246174,47.71732612,-90.48138987,
NS169,4,301.3,34.7,47.7160925,-90.4895142,500,2000,364779,246174,47.71746319,-90.48138987,
NS376,5,296.9,36.4,47.7306452,-90.4895338,-4150,3050,364780,246105,47.71926848,-90.47714072,
NS374,5,294.3,35.2,47.7309233,-90.4470129,-3300,-2500,364780,246104,47.72187675,-90.45717121,
NS369,5,294,38.5,47.7309233,-90.4470129,-3150,-1500,364780,246104,47.72228796,-90.45310788,
NS368,4,291.7,34.9,47.7309233,-90.4470129,-2000,900,364780,246104,47.72544054,-90.44335591,
NS265,3,286,47.2,47.7309233,-90.4470129,600,2700,364780,246104,47.73256813,-90.43604193,
NS367,5,285.5,56,47.744957,-90.4254228,-3800,100,364781,246038,47.73453979,-90.42501636,
NS365,4,285.2,38.7,47.7735513,-90.3394828,-3000,1200,364783,245903,47.76532723,-90.33460283,
NS362,5,292.9,43.5,47.7736014,-90.2755128,-2400,2000,364783,245903,47.76702215,-90.26737951,
NS226,3,295.5,25.7,47.7876514,-90.1898828,-4250,-2850,364784,245837,47.77600067,-90.20147585,
NS375,5,287.9,53.8,47.8020614,-90.1687629,-4800,-1100,364785,245769,47.78890296,-90.17323865,
NS229,3,298.4,46.9,47.8020813,-90.1255629,-2300,-1900,364785,245769,47.79577622,-90.13329374,
NS227,5,296.1,43.6,47.8021713,-90.104143,-1300,-250,364785,245768,47.79860756,-90.10516022,
NS378,5,290.6,47.9,47.8166714,-90.0827329,-4000,-2450,364786,245700,47.80570607,-90.09270441,
NS269,3,264.5,38.2,47.8167614,-90.0610828,1950,-50,364786,245699,47.822107,-90.0612863,
MK243,4,264.4,47.3,47.8947213,-89.1933032,-3100,-2600,364791,245331,47.88622328,-89.20390113,
MK244,5,274.1,46.4,47.8947213,-89.1933032,-3100,-3000,364791,245331,47.88622328,-89.20553158,
MK245,5,272.9,49.3,47.8947213,-89.1933032,-3200,-3350,364791,245331,47.88594915,-89.20695822,
MK246,4,290.4,67.1,47.8947213,-89.1933032,-3250,-3800,364791,245331,47.88581209,-89.20879248,
MK247,5,263.7,56.7,47.8947213,-89.1933032,-3300,-4200,364791,245331,47.88567502,-89.21042293,
MK248,5,285.2,25.2,47.8947213,-89.1933032,-2700,-150,364791,245331,47.8873198,-89.19391462,
MK249,5,281.9,24.7,47.8945813,-89.2143232,-2400,-250,364791,245332,47.88800219,-89.21534223,
MK250,5,289.2,14.1,47.8947213,-89.1933032,-1200,-2400,364791,245331,47.89143175,-89.2030859,
MK251,6,292.9,29.5,47.8947213,-89.1933032,0,-1700,364791,245331,47.8947213,-89.20023261,
