site,n,dec,inc,crn_lat,crn_lon,feetN,feetE,feetN_in_lat,feetE_in_lon,lat,lon,notes
PL150,4,284,33,47.2860613,-88.4051134,700,-1100,364752,248193,47.28798041,-88.40954543,
PL50,5,284.2,19.9,47.2714713,-88.4048234,-2050,-2700,364751,248261,47.26585103,-88.41569905,Iroquois Flow
PL331,5,283.3,35.3,47.2860613,-88.4051134,-1950,-2350,364752,248193,47.2807152,-88.41458184,
PL344,3,294.7,38.2,47.3583714,-88.4256734,-350,950,364757,247854,47.35741186,-88.4218405,
PL51,3,290.9,24.8,47.2860613,-88.4051134,-850,-100,364752,248193,47.28373095,-88.40551631,Osceola Flow
PL330,5,286.8,21,47.2714713,-88.4048234,725,-2500,364751,248261,47.27345896,-88.41489345,
PL52,5,287.4,32.9,47.2714314,-88.4257334,-1300,1700,364751,248261,47.26786732,-88.41888577,
PL323,4,289.6,30.6,47.2714314,-88.4257334,-2150,1850,364751,248261,47.26553697,-88.41828157,
PL53,5,300.8,24.6,47.2714314,-88.4257334,-1500,2100,364751,248261,47.26731901,-88.41727456,
PL324,5,293,35,47.2714713,-88.4048234,-1900,-2150,364751,248261,47.26626227,-88.41348364,
PL335,4,296.1,33.7,47.3005014,-88.3629535,2250,1900,364753,248125,47.30666996,-88.35529607,Kearsarge Flow
PL54,5,285.6,32,47.2714713,-88.4048234,-1350,-1500,364751,248261,47.26777014,-88.41086543,Kearsarge Flow
PL55,5,291.1,48.8,47.2714713,-88.4048234,-1850,-1300,364751,248261,47.26639935,-88.41005982,
PL56,5,285.6,51.5,47.2714713,-88.4048234,-1800,-1350,364751,248261,47.26653643,-88.41026123,
PL326,5,279.8,50,47.2570913,-88.4050335,2500,200,364750,248328,47.26394531,-88.40422811,
PL327,4,283.8,41.5,47.2570913,-88.4050335,2350,600,364750,248328,47.26353407,-88.40261734,
PL57,4,283.6,39.6,47.2714713,-88.4048234,-2750,800,364751,248261,47.26393191,-88.40160098,
PL58,4,290.9,30.2,47.2714713,-88.4048234,-2760,800,364751,248261,47.26390449,-88.40160098,
PL59,4,290.3,32.5,47.2714713,-88.4048234,-2600,1200,364751,248261,47.26434315,-88.39998978,Scales Creek Flow
PL60,4,288.5,40,47.2714713,-88.4048234,-2750,1300,364751,248261,47.26393191,-88.39958698,
PL325,5,293.2,33.6,47.2714713,-88.4048234,-1300,-100,364751,248261,47.26790722,-88.4052262,
PL61,4,294.2,31.7,47.2714713,-88.4048234,-3450,2350,364751,248261,47.26201279,-88.39535756,
PL343,5,285.7,37.1,47.2570913,-88.4050335,-250,2350,364750,248328,47.2564059,-88.39557021,Copper City Flow
PL35,5,264.9,45.6,47.2860613,-88.4051134,2150,-1175,364752,248193,47.29195572,-88.40984762,
PL7,4,294.6,45.2,47.2860613,-88.4051134,1350,-1850,364752,248193,47.28976244,-88.41256728,
PL6,4,274.7,45.2,47.2860613,-88.4051134,2000,-1150,364752,248193,47.29154448,-88.40974689,
PL5,5,280.8,49.7,47.2860613,-88.4051134,2100,-1200,364752,248193,47.29181864,-88.40994835,
PL4,6,261,43.2,47.2860613,-88.4051134,750,-2350,364752,248193,47.28811749,-88.41458184,
PL3,5,279.5,36.6,47.2860613,-88.4051134,700,-2200,364752,248193,47.28798041,-88.41397747,
PL1,5,265.6,51.6,47.2860613,-88.4051134,0,-2200,364752,248193,47.2860613,-88.41397747,
PL44,3,287.9,29.6,47.2858914,-88.4469834,-1250,0,364752,248193,47.28246441,-88.4469834,
PL333,5,281.8,28.8,47.2859812,-88.4258335,2450,-900,364752,248193,47.29269809,-88.42945971,
PL49,5,290.1,27.5,47.1995713,-88.4255835,3350,-2200,364746,248597,47.20875577,-88.43443316,
PL329,3,286.1,24.4,47.3147414,-88.3838135,1400,-2250,364754,248058,47.3185796,-88.39288396,Ashbed Flow
PL43,4,293.7,38.1,47.2859812,-88.4258335,2050,-450,364752,248193,47.29160146,-88.42764661,Ashbed Flow
PL27,4,282.8,41.5,47.2860613,-88.4051134,2750,-2950,364752,248193,47.29360067,-88.41699931,
PL26,5,285.9,33.6,47.2860613,-88.4051134,2900,-3350,364752,248193,47.29401191,-88.41861096,
PL25,5,279.3,49.7,47.2860613,-88.4051134,2650,-3300,364752,248193,47.29332651,-88.4184095,
PL24,4,280.2,35.7,47.2860613,-88.4051134,2550,-3250,364752,248193,47.29305235,-88.41820805,
PL22,6,291.4,43.6,47.2860613,-88.4051134,2200,-3200,364752,248193,47.2920928,-88.41800659,
PL20,5,295.3,40.2,47.2860613,-88.4051134,2150,-3000,364752,248193,47.29195572,-88.41720077,
PL19,3,299,31.7,47.2860613,-88.4051134,1950,-2975,364752,248193,47.2914074,-88.41710004,
PL14,5,294.7,32,47.2860613,-88.4051134,1275,-2950,364752,248193,47.28955683,-88.41699931,
PL13,5,296.9,28.2,47.2860613,-88.4051134,1250,-2900,364752,248193,47.28948829,-88.41679786,
PL12,5,297.8,33.6,47.2860613,-88.4051134,1125,-2875,364752,248193,47.28914559,-88.41669713,
PL11,5,293.6,30.3,47.2860613,-88.4051134,1110,-2850,364752,248193,47.28910446,-88.4165964,
PL10,5,293.6,33.7,47.2860613,-88.4051134,1100,-2825,364752,248193,47.28907705,-88.41649567,
PL9,4,297.6,40.8,47.2860613,-88.4051134,1200,-2800,364752,248193,47.28935121,-88.41639494,
PL8,5,297.1,45.5,47.2860613,-88.4051134,1050,-2800,364752,248193,47.28893997,-88.41639494,
PL32,5,296.4,32,47.3005513,-88.3837934,600,-3700,364753,248125,47.30219625,-88.39870524,Greenstone Flow
PL33,5,291,37.2,47.3005513,-88.3837934,500,-3650,364753,248125,47.30192209,-88.39850373,
PL34,4,293.7,39.1,47.3005513,-88.3837934,350,-3600,364753,248125,47.30151085,-88.39830222,
PL340,5,284.8,27.9,47.4307813,-88.1307935,650,-2700,364761,247515,47.43256329,-88.14170193,Ashbed Flow
PL338,4,286.9,19.7,47.4016914,-88.2791835,-100,-2750,364759,247651,47.40141725,-88.29028784,Ashbed Flow
PL339,4,294.6,29.8,47.4162512,-88.2580335,-1700,950,364760,247583,47.4115906,-88.2541964,Ashbed Flow
PL342,5,284.5,36.8,47.4455814,-87.9410536,-600,250,364762,247445,47.44393649,-87.94004327,Ashbed Flow
PL349,4,274.6,49.1,47.4016914,-88.2791835,-1500,-100,364759,247651,47.3975791,-88.27958729,Greenstone Flow
PL348,4,315.6,33.6,47.4310113,-88.1095834,-600,-4150,364761,247514,47.42936639,-88.12635013,Greenstone Flow
PL347,4,301,33.4,47.4310113,-88.1095834,-600,-2500,364761,247514,47.42936639,-88.11968384,Greenstone Flow
PL346,4,288.7,30.9,47.4310113,-88.1095834,-1000,-2000,364761,247514,47.42826978,-88.11766375,Greenstone Flow
PL345,5,281.2,38.3,47.4310113,-88.1095834,-2100,-160,364761,247514,47.42525411,-88.11022983,Greenstone Flow
PL158,5,283,38.9,47.4165513,-88.1095935,2250,-550,364760,247582,47.42271974,-88.11181499,
PL160,4,283,44.3,47.4165513,-88.1095935,2150,-650,364760,247582,47.42244559,-88.11221889,
PL159,4,284.3,48.8,47.4165513,-88.1095935,2000,-500,364760,247582,47.42203436,-88.11161303,
PL157,5,254.7,40.4,47.4165513,-88.1095935,1350,300,364760,247582,47.42025236,-88.10838178,
PL341,5,287.9,34.9,47.4021812,-88.0456136,-1100,-400,364759,247649,47.39916551,-88.04722879,Scales Creek Flow
PL154,5,274.2,33.1,47.3876312,-88.0457636,2400,2400,364758,247717,47.3942109,-88.03607512,
PL153,6,286.2,41,47.3876312,-88.0457636,800,1950,364758,247717,47.38982443,-88.03789171,
PL42,4,326.7,19.5,47.3875813,-88.0254436,-1000,2050,364758,247717,47.38483976,-88.01716803,
ER66,5,281.1,24.8,46.6792082,-89.5736332,-1000,-1050,364713,251017,46.67646632,-89.57781618,
ER67,4,290.3,32.7,46.6792082,-89.5736332,-1100,-1100,364713,251017,46.67619213,-89.57801537,
ER68,4,290.4,26.4,46.5923611,-89.5734963,800,0,364708,251419,46.59455464,-89.5734963,
QP69,4,310.5,25,46.6501582,-89.5945541,-3200,600,364711,251152,46.64138413,-89.59216511,
QP71,4,289.1,20.9,46.6501582,-89.5945541,-3700,750,364711,251152,46.64001318,-89.59156786,
QP73,5,305.8,44.8,46.6357222,-89.5944031,0,1500,364710,251218,46.6357222,-89.58843219,
R36-0,,241.8,60,47.2714213,-88.3625035,870,-2540,364751,248261,47.27380649,-88.37273467,
R36-1,,278.3,70.3,47.2714213,-88.3625035,870,-2530,364751,248261,47.27380649,-88.37269439,
