study,site,dec_tc,inc_tc,a95,n,site_lat,site_lon,formation,member,site_R,site_kappa,comment
Palmer1987,1 and 24,302,23,16,11,47.72,-85.95,Michipicoten_Island,Cuesta_Member,1.99,229,Fisher mean of site means 1 and 24---same flow in our field observations
Palmer1987,11 and 12,302.7648941,21.58811109,5.2,8,47.73,-85.62,Michipicoten_Island,Cuesta_Member,1.813883112,5.372967557,Fisher mean of site means 11 and 12
Palmer1987,"3, 13, and 25",301.6838505,17.01416799,29.85,13,47.71,-85.94,Michipicoten_Island,Channel_Lake_Member,1.927198138,13.73591236,"Fisher mean of site means 3, 13 and 25---Channel Lake is one flow"
Palmer1987,2 and 4,307.2446612,39.08626468,23,9,47.71,-85.94,Michipicoten_Island,Quebec_Harbour_Member,1.991427,116.655,Fisher mean of site means 2 and 4
Palmer1987,14,283,24,5.6,5,47.73,-85.64,Michipicoten_Island,South_Shore_Member,4.979,188,
Palmer1987,5,286,32,5.1,5,47.7,-85.85,Michipicoten_Island,South_Shore_Member,4.982,224,
Palmer1987,16,283,13,11.2,4,47.71,-85.79,Michipicoten_Island,South_Shore_Member,3.956,68,
Palmer1987,15 and 17,287.0782831,19.13391704,21.83184088,9,47.7,-85.79,Michipicoten_Island,Davieaux_Island_Member,1.992478844,132.9582795,Fisher mean of site means 15 and 17
Palmer1987,19,321,33,3.2,4,47.8,-85.75,Quebec_Mine,,3.996,809,
Palmer1987,7,277,61,8.4,5,47.75,-85.93,Quebec_Mine,,6.886,52,
Palmer1987,8,299,30,11.9,4,47.74,-85.6,Quebec_Mine,,5.847,33,
Palmer1987,22,270,46,3.4,4,47.73,-85.62,Quebec_Mine,,5.987,399,
Palmer1987,10,300,41,3,5,47.71,-85.94,Quebec_Mine,,5.99,508,
Palmer1987,9,296,54,3.3,4,47.73,-85.61,Quebec_Mine,,4.993,537,
Palmer1987,23,303,40,2.7,4,47.71,-85.94,Quebec_Mine,,2.999,2044,
Palmer1987,20,288,-3,17.7,4,47.8,-85.75,intrusive,,3.892,28,
Palmer1987,21,313,12,7.8,4,47.79,-85.72,intrusive,,3.979,140,
Palmer1987,6,297,25,13,5,47.75,-85.93,intrusive,,4.888,36,
