study,site,dec_tc,inc_tc,a95,n,site_lat,site_lon,formation,member,site_R,site_kappa,comment
Palmer1987,1,304,20,14.6,6,47.72,-85.95,Michipicoten_Island,Cuesta_Member,5.772,22,
Palmer1987,24,299,26,12.1,5,47.72,-85.94,Michipicoten_Island,Cuesta_Member,4.903,41,
Palmer1987,11,329,18,,4,47.72,-85.96,Michipicoten_Island,Cuesta_Member,1.736,1,
Palmer1987,12,276,21,24.5,4,47.74,-85.6,Michipicoten_Island,Cuesta_Member,3.8,15,
Palmer1987,25,311,8,5.2,4,47.73,-85.62,Michipicoten_Island,Cuesta_Member,3.99,313,
Palmer1987,3,297,6,3.7,5,47.71,-85.94,Michipicoten_Island,Channel_Lake_Member,4.991,432,
Palmer1987,13,296,37,9.2,4,47.73,-85.61,Michipicoten_Island,Channel_Lake_Member,3.97,101,
Palmer1987,2,303,35,7.5,4,47.71,-85.94,Michipicoten_Island,Quebec_Harbour_Member,3.98,152,
Palmer1987,4,312,43,5.1,5,47.71,-85.87,Michipicoten_Island,Quebec_Harbour_Member,4.982,228,
Palmer1987,14,283,24,5.6,5,47.73,-85.64,Michipicoten_Island,South_Shore_Member,4.979,188,
Palmer1987,5,286,32,5.1,5,47.7,-85.85,Michipicoten_Island,South_Shore_Member,4.982,224,
Palmer1987,16,283,13,11.2,4,47.71,-85.79,Michipicoten_Island,South_Shore_Member,3.956,68,
Palmer1987,15,291,5,23.7,3,47.7,-85.79,Michipicoten_Island,Davieaux_Island_Member,2.929,28,
Palmer1987,17,283,34,7.3,4,47.69,-85.83,Michipicoten_Island,Davieaux_Island_Member,3.981,160,
Palmer1987,19,321,33,3.2,4,47.8,-85.75,Mamainse_Point,,3.996,809,
Palmer1987,18,217,47,13.4,6,47.79,-85.72,Mamainse_Point,,5.808,26,
Palmer1987,7,277,61,8.4,5,47.75,-85.93,Mamainse_Point,,6.886,52,
Palmer1987,8,299,30,11.9,4,47.74,-85.6,Mamainse_Point,,5.847,33,
Palmer1987,22,270,46,3.4,4,47.73,-85.62,Mamainse_Point,,5.987,399,
Palmer1987,10,300,41,3,5,47.71,-85.94,Mamainse_Point,,5.99,508,
Palmer1987,9,296,54,3.3,4,47.73,-85.61,Mamainse_Point,,4.993,537,
Palmer1987,23,303,40,2.7,4,47.71,-85.94,Mamainse_Point,,2.999,2044,
Palmer1987,KM ,299,51,8.2,5,47.71,-85.87,Mamainse_Point,,5.927,68,block samples collected between sites 8 and 6---must be from multiple flows
Palmer1987,20,288,-3,17.7,4,47.8,-85.75,intrusive,,3.892,28,
Palmer1987,21,313,12,7.8,4,47.79,-85.72,intrusive,,3.979,140,
Palmer1987,6,297,25,13,5,47.75,-85.93,intrusive,,4.888,36,
