x,y,latitude,longitude,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,dipAz_dc,strike,declination,unitId,timedate,notes
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,37,159,165.6590805,69,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,31,145,151.6590805,55,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,28,166,172.6590805,76,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,28,163,169.6590805,73,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,32,168,174.6590805,78,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,32,168,174.6590805,78,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,30,174,180.6590805,84,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,32,157,163.6590805,67,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,25,156,162.6590805,66,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,26,160,166.6590805,70,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,30,157,163.6590805,67,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,33,179,185.6590805,89,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,35,169,175.6590805,79,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,35,163,169.6590805,73,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,34,170,176.6590805,80,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,28,167,173.6590805,77,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578579.2535,5286048.822,47.72303228,-85.95218592,3,5,-1,Flow Banding,36,178,184.6590805,88,-6.65908051,CM1, Sat Jul 18 08:13:49 2015,compass
578857.4787,5288591.445,47.745872,-85.94801593,4,5,-1,Bedding,37.34593582,177.9346466,177.9346466,87.93464661,-6.58203888,Deer Yard Member , Sun Jul 19 13:27:33 2015, 
578884.6442,5288579.52,47.7457614,-85.94765576,6,5,-1,Bedding,41.12199402,182.4414673,182.4414673,92.44146729,-6.58203888,Deer Yard Member , Sun Jul 19 13:24:56 2015, 
578908.7537,5288597.308,47.74591848,-85.94733096,4,5,-1,Bedding,38.18387985,179.740509,179.740509,89.74050903,-6.58203888,Deer Yard Member , Sun Jul 19 13:22:48 2015, 
578910.7562,5288601.626,47.74595708,-85.94730346,6,5,-1,Bedding,39.63661957,205.9511261,205.9511261,115.9511261,-6.58203888,Deer Yard Member , Sun Jul 19 13:22:23 2015, 
581542.8735,5284911.672,47.71243487,-85.91288762,3,5,-1,Joint,52.66508102,332.7608643,332.7608643,242.7608643,-6.65908051,Channel Lake Member, Fri Jul 10 05:33:36 2015, 
581544.2979,5284906.964,47.71239233,-85.91286952,3,5,-1,Joint,44.93468094,320.4335327,320.4335327,230.4335327,-6.65908051,Channel Lake Member, Fri Jul 10 05:31:07 2015, 
581544.2979,5284906.964,47.71239233,-85.91286952,3,5,-1,Joint,43.68616486,318.1319275,318.1319275,228.1319275,-6.65908051,Channel Lake Member, Fri Jul 10 05:30:53 2015, 
581553.8107,5284884.219,47.71218651,-85.91274697,3,5,-1,Joint,58.64946747,323.7276001,323.7276001,233.7276001,-6.65908051,Channel Lake Member, Fri Jul 10 05:41:35 2015, 
581554.4855,5284884.084,47.71218522,-85.912738,3,5,-1,Joint,62.66654587,326.2695313,326.2695313,236.2695313,-6.65908051,Channel Lake Member, Fri Jul 10 05:41:22 2015, 
581555.0491,5284884.25,47.71218664,-85.91273046,3,5,-1,Joint,74.76730347,233.7899933,233.7899933,143.7899933,-6.65908051,Channel Lake Member, Fri Jul 10 05:42:45 2015, 
581556.0021,5284899.232,47.7123213,-85.91271495,6,5,-1,Joint,63.23408127,20.7902298,20.7902298,290.7902222,-6.65908051,Channel Lake Member, Fri Jul 10 05:37:24 2015, 
581556.1274,5284883.59,47.71218056,-85.91271621,4,5,-1,Joint,62.95912933,329.645813,329.645813,239.645813,-6.65908051,Channel Lake Member, Fri Jul 10 05:41:59 2015, 
581557.4011,5284886.035,47.7122024,-85.91269878,4,5,-1,Joint,73.65910339,240.0105743,240.0105743,150.0105743,-6.65908051,Channel Lake Member, Fri Jul 10 05:40:47 2015, 
581557.7337,5284877.57,47.71212621,-85.91269593,3,5,-1,Joint,68.21066284,238.2607422,238.2607422,148.2607422,-6.65908051,Channel Lake Member, Fri Jul 10 05:43:32 2015, 
581557.8441,5284886.278,47.71220454,-85.91269283,4,5,-1,Joint,64.75080109,314.1747437,314.1747437,224.1747437,-6.65908051,Channel Lake Member, Fri Jul 10 05:40:32 2015, 
581558.1804,5284878.005,47.71213006,-85.91268989,3,5,-1,Joint,51.15069199,332.7366943,332.7366943,242.7366943,-6.65908051,Channel Lake Member, Fri Jul 10 05:43:17 2015, 
581558.1804,5284878.005,47.71213006,-85.91268989,3,5,-1,Joint,60.51184464,271.9258728,271.9258728,181.9258728,-6.65908051,Channel Lake Member, Fri Jul 10 05:43:11 2015, 
581558.1804,5284878.005,47.71213006,-85.91268989,3,5,-1,Joint,66.11321259,351.7855835,351.7855835,261.7855835,-6.65908051,Channel Lake Member, Fri Jul 10 05:43:04 2015, 
581558.3531,5284894.816,47.71228127,-85.91268444,4,5,-1,Joint,61.57828903,295.1373596,295.1373596,205.1373596,-6.65908051,Channel Lake Member, Fri Jul 10 05:39:45 2015, 
581558.4808,5284876.313,47.71211481,-85.9126862,3,5,-1,Joint,89,230.0071564,230.0071564,140.0071564,-6.65908051,Channel Lake Member, Fri Jul 10 05:45:30 2015, 
581558.4808,5284876.313,47.71211481,-85.9126862,3,5,-1,Joint,55.46023941,306.0776062,306.0776062,216.0776062,-6.65908051,Channel Lake Member, Fri Jul 10 05:45:12 2015, 
581558.4808,5284876.313,47.71211481,-85.9126862,3,5,-1,Joint,68.23451996,333.2508545,333.2508545,243.2508545,-6.65908051,Channel Lake Member, Fri Jul 10 05:44:55 2015, 
581558.4808,5284876.313,47.71211481,-85.9126862,3,5,-1,Joint,57.24250412,264.1339417,264.1339417,174.1339417,-6.65908051,Channel Lake Member, Fri Jul 10 05:44:23 2015, 
581560.5854,5284878.695,47.71213597,-85.91265771,4,5,-1,Joint,74.59231567,9.21379948,9.21379948,279.2138062,-6.65908051,Channel Lake Member, Fri Jul 10 05:58:44 2015, 
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,68,314,320.5820389,224,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,78,30,36.58203888,300,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,72,9,15.58203888,279,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,63,304,310.5820389,214,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,62,308,314.5820389,218,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,62,262,268.5820389,172,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,62,286,292.5820389,196,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,60,2,8.58203888,272,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,70,263,269.5820389,173,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,56,321,327.5820389,231,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,54,293,299.5820389,203,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,88,236,242.5820389,146,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,73,258,264.5820389,168,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
581561.1284,5284890.629,47.71224326,-85.91264823,6,5,-1,Joint,64,267,273.5820389,177,-6.58203888,Channel Lake Member, Fri Jul 10 07:31:15 2015,compass
