tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Michipicoten Island	CM1-1	CM1	CM1-1a	CM1-1a:LP-DIR-T	hargrave 2016-04-05 20:27:17	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1: demag_gui.v.3.0	853	698	K		1	HT	u	0.4	357.9	l	g	16.8	1.3	12	-1
	This study	Michipicoten Island	CM1-1	CM1	CM1-1a	CM1-1a:LP-DIR-T	hargrave 2016-04-05 20:27:17	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1: demag_gui.v.3.0	853	698	K		1	HT	u	0.4	345.5	l	g	-13.2	1.3	12	0
	This study	Michipicoten Island	CM1-1	CM1	CM1-1a	CM1-1a:LP-DIR-T	hargrave 2016-04-05 20:27:17	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1: demag_gui.v.3.0	853	698	K		1	HT	u	0.4	345.3	l	g	18.4	1.3	12	100
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1: demag_gui.v.3.0	853	723	K		3	HT	u	0.8	229.1	l	g	-40.7	2.0	11	-1
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1: demag_gui.v.3.0	723	648	K		3	MT	u	170.5	58.1	l	g	41.9	4.9	4	-1
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1: demag_gui.v.3.0	473	273	K		3	LT	u	71.5	171.5	l	g	37.5	3.6	4	-1
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1: demag_gui.v.3.0	853	723	K		3	HT	u	0.8	322.9	l	g	-9.5	2.0	11	0
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1: demag_gui.v.3.0	723	648	K		3	MT	u	170.5	148.1	l	g	14.3	4.9	4	0
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1: demag_gui.v.3.0	473	273	K		3	LT	u	71.5	256.0	l	g	77.0	3.6	4	0
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1: demag_gui.v.3.0	853	723	K		3	HT	u	0.8	321.7	l	g	18.3	2.0	11	100
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1: demag_gui.v.3.0	723	648	K		3	MT	u	170.5	148.0	l	g	-14.9	4.9	4	100
	This study	Michipicoten Island	CM1-2	CM1	CM1-2a	CM1-2a:LP-DIR-T	hargrave 2016-04-05 20:28:51	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1: demag_gui.v.3.0	473	273	K		3	LT	u	71.5	194.7	l	g	54.7	3.6	4	100
	This study	Michipicoten Island	CM1-3	CM1	CM1-3a	CM1-3a:LP-DIR-T	hargrave 2016-04-05 20:31:31	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1: demag_gui.v.3.0	853	698	K		2	HT	u	0.8	177.6	l	g	-67.4	6.5	12	-1
	This study	Michipicoten Island	CM1-3	CM1	CM1-3a	CM1-3a:LP-DIR-T	hargrave 2016-04-05 20:31:31	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1: demag_gui.v.3.0	573	77	K		2	LT	u	67.4	196.9	l	g	15.0	11.7	4	-1
