tab 	er_sites			
er_citation_names	er_location_name	er_site_name	site_lat	site_lon
This study	Michipicoten Island	CM1	47.723033	-85.952188
This study	Michipicoten Island	CM2	47.718965	-85.955872
This study	Michipicoten Island	SS1	47.72389	-85.6483
This study	Michipicoten Island	SS10	47.7233	-85.6489
This study	Michipicoten Island	SS11	47.7238	-85.6495
This study	Michipicoten Island	SS12	47.7244	-85.6506
This study	Michipicoten Island	SS13	47.724167	-85.650833
This study	Michipicoten Island	SS14	47.724372	-85.65094
This study	Michipicoten Island	SS15	47.7244	-85.651067
This study	Michipicoten Island	SS16	47.705278	-85.729167
This study	Michipicoten Island	SS17	47.704167	-85.727778
This study	Michipicoten Island	SS18	47.707623	-85.757538
This study	Michipicoten Island	SS19	47.707222	-85.756667
This study	Michipicoten Island	SS2	47.7236	-85.6481
This study	Michipicoten Island	SS20	47.706111	-85.753333
This study	Michipicoten Island	SS21	47.705961	-85.746687
This study	Michipicoten Island	SS3	47.7233	-85.6486
This study	Michipicoten Island	SS4	47.7044	-85.8514
This study	Michipicoten Island	SS5	47.7036	-85.85
This study	Michipicoten Island	SS6	47.7028	-85.8483
This study	Michipicoten Island	SS7	47.7022	-85.8453
This study	Michipicoten Island	SS8	47.7047	-85.8511
This study	Michipicoten Island	SS9	47.7031	-85.8489
