tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	Michipicoten Island	CM1-1	CM1	SO-CMD-NORTH	-12.5	31.8	171.9		0.0	-30.0	1.5		
This study	Michipicoten Island	CM1-2	CM1	SO-CMD-NORTH	107.4	31.8	171.9		0.0	-41.0	2.1		
This study	Michipicoten Island	CM1-3	CM1	SO-CMD-NORTH	141.5	31.8	171.9		0.0	-57.0	2.9		
This study	Michipicoten Island	CM1-4	CM1	SO-CMD-NORTH	142.8	31.8	171.9		0.0	-40.0	3		
This study	Michipicoten Island	CM1-5	CM1	SO-CMD-NORTH	137.1	31.8	171.9		0.0	-49.0	3.1		
This study	Michipicoten Island	CM1-6	CM1	SO-CMD-NORTH	142.1	31.8	171.9		0.0	-65.0	4.8		
This study	Michipicoten Island	CM1-7	CM1	SO-CMD-NORTH	154.5	31.8	171.9		0.0	-60.0	5.3		
This study	Michipicoten Island	CM1-8	CM1	SO-CMD-NORTH	179.2	31.8	171.9		0.0	-67.0	5.5		
This study	Michipicoten Island	CM2-1	CM2	SO-CMD-NORTH	-38.6	25.5	177.7		0.0	-24.0	1.7		
This study	Michipicoten Island	CM2-2	CM2	SO-CMD-NORTH	54.4	25.5	177.7		0.0	-28.0	4.4		
This study	Michipicoten Island	CM2-3	CM2	SO-CMD-NORTH	-23.2	25.5	177.7		0.0	-21.0	7.8		
This study	Michipicoten Island	CM2-4	CM2	SO-CMD-NORTH	-0.7	25.5	177.7		0.0	-23.0	11.2		
This study	Michipicoten Island	CM2-5	CM2	SO-CMD-NORTH	6.1	25.5	177.7		0.0	-23.0	17		
This study	Michipicoten Island	CM2-6	CM2	SO-CMD-NORTH	-39.0	25.5	177.7		0.0	-27.0	15.7		
This study	Michipicoten Island	CM2-7	CM2	SO-CMD-NORTH	199.3	25.5	177.7		0.0	-27.0	15.9		
