Site,Strike,Dip
SLB01,41,15
SLB03,44,13
SLB07,49,21
SLB08,41,19
SLB08,48,23
SLB08,52,16
SLB08,32,18
SLB08,42,20
SLB17,41,17
SLB19,47,18
SLB19,24,21
SLB19,26,15
SLB19,37,23
SLB20,38,19
SLB20,45,17
SLB23,41,17
SLB23,51,16
SLB24,47,18
SLB24,52,16
SLB25,42,17
SLB30,50,17
SLB31,51,17
SLB33,34,16
SLB33,41,24
SLB33,37,19
