tab 	er_sites				
er_citation_names	er_location_name	er_site_name	site_lat	site_lon	site_height
This study	Two Island River	SLB01	47.53669	-90.94	0
This study	Two Island River	SLB02	47.53669	-90.94	4.3
This study	Two Island River	SLB03	47.53439	-90.935	68.7
This study	Two Island River	SLB04	47.53417	-90.93484	76.4
This study	Two Island River	SLB05	47.53415	-90.93496	78.4
This study	Two Island River	SLB06	47.53435	-90.93505	71.6
This study	Two Island River	SLB07	47.5337	-90.93443	94.6
This study	Two Island River	SLB08	47.53328	-90.93429	100.1
This study	Two Island River	SLB09	47.53289	-90.9341	102.9
This study	Two Island River	SLB10	47.53251	-90.93344	130.2
This study	Two Island River	SLB11	47.53223	-90.93349	142.2
This study	Two Island River	SLB12	47.53223	-90.93349	146
This study	Two Island River	SLB13	47.53176	-90.93294	151.3
This study	Two Island River	SLB14	47.53111	-90.93254	165
This study	Two Island River	SLB15	47.53092	-90.93153	186
This study	Two Island River	SLB16	47.5306	-90.93102	206.1
This study	Two Island River	SLB17	47.53024	-90.93077	218.7
This study	Two Island River	SLB18	47.53006	-90.93063	225.9
This study	Two Island River	SLB19	47.52995	-90.9304	232.2
This study	Two Island River	SLB20	47.52977	-90.93034	234.7
This study	Two Island River	SLB21	47.52953	-90.93001	246.3
This study	Two Island River	SLB22	47.52794	-90.93121	260.2
This study	Two Island River	SLB23	47.52783	-90.93121	262.8
This study	Two Island River	SLB24	47.52756	-90.93134	266.4
This study	Two Island River	SLB25	47.52719	-90.93106	269
This study	Two Island River	SLB26	47.52652	-90.93091	290.3
This study	Two Island River	SLB27	47.52626	-90.93056	300.8
This study	Two Island River	SLB28	47.52589	-90.92889	331.4
This study	Two Island River	SLB29	47.52597	-90.92828	339
This study	Two Island River	SLB30	47.52539	-90.92632	369.6
This study	Two Island River	SLB31	47.52529	-90.92619	371.9
This study	Two Island River	SLB32	47.52498	-90.92572	383.7
This study	Two Island River	SLB33	47.52489	-90.92557	386.2
This study	Two Island River	SLB34	47.52488	-90.92553	388.4
This study	Two Island River	SLB35	47.52464	-90.92532	396.3
This study	Two Island River	SLB36	47.52422	-90.92416	420
This study	Two Island River	SLB37	47.524091	-90.92355	432.5
This study	Two Island River	SLB38	47.52429	-90.92274	437.2
This study	Two Island River	SLB39	47.5243	-90.92256	439.9
This study	Two Island River	SLB40	47.52435	-90.92244	443
