tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	Two Island River	SLB01.1	SLB01	SO-CMD-NORTH	18.5	17.0	132.0		0.0	-30.0	0.8		
This study	Two Island River	SLB01.2	SLB01	SO-CMD-NORTH	11.7	17.0	132.0		0.0	-86.0	0.7		
This study	Two Island River	SLB01.3	SLB01	SO-CMD-NORTH	15.8	17.0	132.0		0.0	-38.0	0.4		
This study	Two Island River	SLB01.4	SLB01	SO-CMD-NORTH	-1.6	17.0	132.0		0.0	-30.0	0.5		
This study	Two Island River	SLB01.5	SLB01	SO-CMD-NORTH	63.5	17.0	132.0		0.0	-30.0	1.3		
This study	Two Island River	SLB01.6	SLB01	SO-CMD-NORTH	44.0	17.0	132.0		0.0	-35.0	1.7		
This study	Two Island River	SLB01.7	SLB01	SO-CMD-NORTH	34.3	17.0	132.0		0.0	-53.0	3		
This study	Two Island River	SLB01.8	SLB01	SO-CMD-NORTH	39.6	17.0	132.0		0.0	-65.0	2.5		
This study	Two Island River	SLB01.9	SLB01	SO-CMD-NORTH	32.2	17.0	132.0		0.0	-51.0	3.2		
This study	Two Island River	SLB02.1	SLB02	SO-CMD-NORTH	51.6	17.0	132.0		0.0	-91.0	6.3		
This study	Two Island River	SLB02.2	SLB02	SO-CMD-NORTH	70.6	17.0	132.0		0.0	-35.0	7.3		
This study	Two Island River	SLB02.3	SLB02	SO-CMD-NORTH	41.1	17.0	132.0		0.0	-52.0	10		
This study	Two Island River	SLB02.4	SLB02	SO-CMD-NORTH	31.3	17.0	132.0		0.0	-89.0	10.5		
This study	Two Island River	SLB02.5	SLB02	SO-CMD-NORTH	39.2	17.0	132.0		0.0	-48.0	14.8		
This study	Two Island River	SLB02.6	SLB02	SO-CMD-NORTH	35.0	17.0	132.0		0.0	-53.0	14.8		
This study	Two Island River	SLB02.7	SLB02	SO-CMD-NORTH	29.3	17.0	132.0		0.0	-56.0	14.9		
This study	Two Island River	SLB02.8	SLB02	SO-CMD-NORTH	28.6	17.0	132.0		0.0	-42.0	15		
This study	Two Island River	SLB02.9	SLB02	SO-CMD-NORTH	33.4	17.0	132.0		0.0	-66.0	15.2		
This study	Two Island River	SLB03.1	SLB03	SO-CMD-NORTH	23.2	17.0	132.0		0.0	-74.0	0.6		
This study	Two Island River	SLB03.2	SLB03	SO-CMD-NORTH	27.2	17.0	132.0		0.0	-75.0	0.5		
This study	Two Island River	SLB03.3	SLB03	SO-CMD-NORTH	27.1	17.0	132.0		0.0	-72.0	0.6		
This study	Two Island River	SLB03.4	SLB03	SO-CMD-NORTH	44.4	17.0	132.0		0.0	-46.0	0.4		
This study	Two Island River	SLB03.5	SLB03	SO-CMD-NORTH	47.0	17.0	132.0		0.0	-45.0	0.4		
This study	Two Island River	SLB03.6	SLB03	SO-CMD-NORTH	161.0	17.0	132.0		0.0	-21.0	0.7		
This study	Two Island River	SLB03.7	SLB03	SO-CMD-NORTH	96.5	17.0	132.0		0.0	-91.0	0.6		
This study	Two Island River	SLB03.8	SLB03	SO-CMD-NORTH	97.2	17.0	132.0		0.0	-87.0	0.6		
This study	Two Island River	SLB04.1	SLB04	SO-CMD-NORTH	57.7	17.0	132.0		0.0	-8.0	0.9		
This study	Two Island River	SLB04.2	SLB04	SO-CMD-NORTH	14.7	17.0	132.0		0.0	-11.0	0.9		
This study	Two Island River	SLB04.3	SLB04	SO-CMD-NORTH	206.5	17.0	132.0		0.0	-5.0	0.7		
This study	Two Island River	SLB04.4	SLB04	SO-CMD-NORTH	-83.0	17.0	132.0		0.0	-6.0	0.7		
This study	Two Island River	SLB04.5	SLB04	SO-CMD-NORTH	-64.6	17.0	132.0		0.0	-28.0	1.1		
This study	Two Island River	SLB04.6	SLB04	SO-CMD-NORTH	-43.2	17.0	132.0		0.0	-14.0	1.2		
This study	Two Island River	SLB04.7	SLB04	SO-CMD-NORTH	213.3	17.0	132.0		0.0	-3.0	1.5		
This study	Two Island River	SLB04.8	SLB04	SO-CMD-NORTH	-78.5	17.0	132.0		0.0	-7.0	1.6		
This study	Two Island River	SLB05.1	SLB05	SO-CMD-NORTH	-63.4	17.0	132.0		0.0	-6.0	1.3		
This study	Two Island River	SLB05.2	SLB05	SO-CMD-NORTH	-43.2	17.0	132.0		0.0	-14.0	1.2		
This study	Two Island River	SLB05.3	SLB05	SO-CMD-NORTH	0.3	17.0	132.0		0.0	-16.0	1.1		
This study	Two Island River	SLB05.4	SLB05	SO-CMD-NORTH	-63.9	17.0	132.0		0.0	-4.0	1.2		
This study	Two Island River	SLB05.6	SLB05	SO-CMD-NORTH	251.2	17.0	132.0		0.0	-22.0	1.6		
This study	Two Island River	SLB05.7	SLB05	SO-CMD-NORTH	-12.8	17.0	132.0		0.0	-26.0	1.8		
This study	Two Island River	SLB05.8	SLB05	SO-CMD-NORTH	-14.9	17.0	132.0		0.0	-29.0	2		
This study	Two Island River	SLB05.9	SLB05	SO-CMD-NORTH	-76.2	17.0	132.0		0.0	-24.0	2.1		
This study	Two Island River	SLB06.1	SLB06	SO-CMD-NORTH	51.2	17.0	132.0		0.0	-41.0	1.3		
This study	Two Island River	SLB06.2	SLB06	SO-CMD-NORTH	149.6	17.0	132.0		0.0	-60.0	1.2		
This study	Two Island River	SLB06.3	SLB06	SO-CMD-NORTH	70.9	17.0	132.0		0.0	-16.0	0.7		
This study	Two Island River	SLB06.4	SLB06	SO-CMD-NORTH	12.2	17.0	132.0		0.0	-19.0	1.8		
This study	Two Island River	SLB06.5	SLB06	SO-CMD-NORTH	-9.9	17.0	132.0		0.0	-13.0	1.8		
This study	Two Island River	SLB06.6	SLB06	SO-CMD-NORTH	262.4	17.0	132.0		0.0	-33.0	2		
This study	Two Island River	SLB06.7	SLB06	SO-CMD-NORTH	-30.6	17.0	132.0		0.0	-3.0	2.1		
This study	Two Island River	SLB06.8	SLB06	SO-CMD-NORTH	59.8	17.0	132.0		0.0	-30.0	1.2		
This study	Two Island River	SLB06.9	SLB06	SO-CMD-NORTH	193.7	17.0	132.0		0.0	-14.0	1.1		
This study	Two Island River	SLB07.1	SLB07	SO-CMD-NORTH	97.7	17.0	132.0		0.0	-69.0	0.3		
This study	Two Island River	SLB07.2	SLB07	SO-CMD-NORTH	69.0	17.0	132.0		0.0	-73.0	0.3		
This study	Two Island River	SLB07.3	SLB07	SO-CMD-NORTH	86.0	17.0	132.0		0.0	-68.0	0.8		
This study	Two Island River	SLB07.4	SLB07	SO-CMD-NORTH	103.8	17.0	132.0		0.0	-71.0	1.3		
This study	Two Island River	SLB07.5	SLB07	SO-CMD-NORTH	123.1	17.0	132.0		0.0	-89.0	1.5		
This study	Two Island River	SLB07.7	SLB07	SO-CMD-NORTH	-0.3	17.0	132.0		0.0	-14.0	4.5		
This study	Two Island River	SLB07.8	SLB07	SO-CMD-NORTH	-20.5	17.0	132.0		0.0	-18.0	4.4		
This study	Two Island River	SLB07.9	SLB07	SO-CMD-NORTH	-13.2	17.0	132.0		0.0	-20.0	4.4		
This study	Two Island River	SLB07.10	SLB07	SO-CMD-NORTH	-0.2	17.0	132.0		0.0	-25.0	4.2		
This study	Two Island River	SLB08.1	SLB08	SO-CMD-NORTH	52.0	17.0	132.0		0.0	-76.0	0.2		
This study	Two Island River	SLB08.2	SLB08	SO-CMD-NORTH	52.8	17.0	132.0		0.0	-77.0	0.3		
This study	Two Island River	SLB08.3	SLB08	SO-CMD-NORTH	45.7	17.0	132.0		0.0	-57.0	0.4		
This study	Two Island River	SLB08.4	SLB08	SO-CMD-NORTH	57.7	17.0	132.0		0.0	-65.0	0.5		
This study	Two Island River	SLB08.5	SLB08	SO-CMD-NORTH	69.6	17.0	132.0		0.0	-62.0	0.6		
This study	Two Island River	SLB08.6	SLB08	SO-CMD-NORTH	47.0	17.0	132.0		0.0	-70.0	0.6		
This study	Two Island River	SLB08.7	SLB08	SO-CMD-NORTH	45.5	17.0	132.0		0.0	-59.0	0.4		
This study	Two Island River	SLB08.8	SLB08	SO-CMD-NORTH	39.2	17.0	132.0		0.0	-86.0	0.4		
This study	Two Island River	SLB08.9	SLB08	SO-CMD-NORTH	36.3	17.0	132.0		0.0	-87.0	0.3		
This study	Two Island River	SLB08.10	SLB08	SO-CMD-NORTH	-6.3	17.0	132.0		0.0	-57.0	0.6		
This study	Two Island River	SLB09.1	SLB09	SO-CMD-NORTH	-34.5	17.0	132.0		0.0	-64.0	0.6		
