tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	Two Island River	SLB01.1	SLB01	SLB01.1a		1.000e-03
This study	Two Island River	SLB01.2	SLB01	SLB01.2a		1.000e-03
This study	Two Island River	SLB01.3	SLB01	SLB01.3a		1.000e-03
This study	Two Island River	SLB01.4	SLB01	SLB01.4a		1.000e-03
This study	Two Island River	SLB01.5	SLB01	SLB01.5a		1.000e-03
This study	Two Island River	SLB01.6	SLB01	SLB01.6a		1.000e-03
This study	Two Island River	SLB01.7	SLB01	SLB01.7a		1.000e-03
This study	Two Island River	SLB01.8	SLB01	SLB01.8a		1.000e-03
This study	Two Island River	SLB01.9	SLB01	SLB01.9a		1.000e-03
This study	Two Island River	SLB02.1	SLB02	SLB02.1a		1.000e-03
This study	Two Island River	SLB02.2	SLB02	SLB02.2a		1.000e-03
This study	Two Island River	SLB02.3	SLB02	SLB02.3a		1.000e-03
This study	Two Island River	SLB02.4	SLB02	SLB02.4a		1.000e-03
This study	Two Island River	SLB02.5	SLB02	SLB02.5a		1.000e-03
This study	Two Island River	SLB02.6	SLB02	SLB02.6a		1.000e-03
This study	Two Island River	SLB02.7	SLB02	SLB02.7a		1.000e-03
This study	Two Island River	SLB02.8	SLB02	SLB02.8a		1.000e-03
This study	Two Island River	SLB02.9	SLB02	SLB02.9a		1.000e-03
This study	Two Island River	SLB03.1	SLB03	SLB03.1a		1.000e-03
This study	Two Island River	SLB03.2	SLB03	SLB03.2a		1.000e-03
This study	Two Island River	SLB03.3	SLB03	SLB03.3a		1.000e-03
This study	Two Island River	SLB03.4	SLB03	SLB03.4a		1.000e-03
This study	Two Island River	SLB03.5	SLB03	SLB03.5a		1.000e-03
This study	Two Island River	SLB03.6	SLB03	SLB03.6a		1.000e-03
This study	Two Island River	SLB03.7	SLB03	SLB03.7a		1.000e-03
This study	Two Island River	SLB03.8	SLB03	SLB03.8a		1.000e-03
This study	Two Island River	SLB04.1	SLB04	SLB04.1a		1.000e-03
This study	Two Island River	SLB04.2	SLB04	SLB04.2a		1.000e-03
This study	Two Island River	SLB04.3	SLB04	SLB04.3a		1.000e-03
This study	Two Island River	SLB04.4	SLB04	SLB04.4a		1.000e-03
This study	Two Island River	SLB04.5	SLB04	SLB04.5a		1.000e-03
This study	Two Island River	SLB04.6	SLB04	SLB04.6a		1.000e-03
This study	Two Island River	SLB04.7	SLB04	SLB04.7a		1.000e-03
This study	Two Island River	SLB04.8	SLB04	SLB04.8a		1.000e-03
This study	Two Island River	SLB05.1	SLB05	SLB05.1a		1.000e-03
This study	Two Island River	SLB05.2	SLB05	SLB05.2a		1.000e-03
This study	Two Island River	SLB05.3	SLB05	SLB05.3a		1.000e-03
This study	Two Island River	SLB05.4	SLB05	SLB05.4a		1.000e-03
This study	Two Island River	SLB05.6	SLB05	SLB05.6a		1.000e-03
This study	Two Island River	SLB05.7	SLB05	SLB05.7a		1.000e-03
This study	Two Island River	SLB05.8	SLB05	SLB05.8a		1.000e-03
This study	Two Island River	SLB05.9	SLB05	SLB05.9a		1.000e-03
This study	Two Island River	SLB06.1	SLB06	SLB06.1a		1.000e-03
This study	Two Island River	SLB06.2	SLB06	SLB06.2a		1.000e-03
This study	Two Island River	SLB06.3	SLB06	SLB06.3a		1.000e-03
This study	Two Island River	SLB06.4	SLB06	SLB06.4a		1.000e-03
This study	Two Island River	SLB06.5	SLB06	SLB06.5a		1.000e-03
This study	Two Island River	SLB06.6	SLB06	SLB06.6a		1.000e-03
