tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	Two Island River	SLB06.7	SLB06	SLB06.7a		1.000e-03
This study	Two Island River	SLB06.8	SLB06	SLB06.8a		1.000e-03
This study	Two Island River	SLB06.9	SLB06	SLB06.9a		1.000e-03
This study	Two Island River	SLB07.1	SLB07	SLB07.1a		1.000e-03
This study	Two Island River	SLB07.2	SLB07	SLB07.2a		1.000e-03
This study	Two Island River	SLB07.3	SLB07	SLB07.3a		1.000e-03
This study	Two Island River	SLB07.4	SLB07	SLB07.4a		1.000e-03
This study	Two Island River	SLB07.5	SLB07	SLB07.5a		1.000e-03
This study	Two Island River	SLB07.7	SLB07	SLB07.7a		1.000e-03
This study	Two Island River	SLB07.8	SLB07	SLB07.8a		1.000e-03
This study	Two Island River	SLB07.9	SLB07	SLB07.9a		1.000e-03
This study	Two Island River	SLB07.10	SLB07	SLB07.10a		1.000e-03
This study	Two Island River	SLB08.1	SLB08	SLB08.1a		1.000e-03
This study	Two Island River	SLB08.2	SLB08	SLB08.2a		1.000e-03
This study	Two Island River	SLB08.3	SLB08	SLB08.3a		1.000e-03
This study	Two Island River	SLB08.4	SLB08	SLB08.4a		1.000e-03
This study	Two Island River	SLB08.5	SLB08	SLB08.5a		1.000e-03
This study	Two Island River	SLB08.6	SLB08	SLB08.6a		1.000e-03
This study	Two Island River	SLB08.7	SLB08	SLB08.7a		1.000e-03
This study	Two Island River	SLB08.8	SLB08	SLB08.8a		1.000e-03
This study	Two Island River	SLB08.9	SLB08	SLB08.9a		1.000e-03
This study	Two Island River	SLB08.10	SLB08	SLB08.10a		1.000e-03
This study	Two Island River	SLB09.1	SLB09	SLB09.1a		1.000e-03
This study	Two Island River	SLB09.3	SLB09	SLB09.3a		1.000e-03
This study	Two Island River	SLB09.4	SLB09	SLB09.4a		1.000e-03
This study	Two Island River	SLB09.5	SLB09	SLB09.5a		1.000e-03
This study	Two Island River	SLB09.6	SLB09	SLB09.6a		1.000e-03
This study	Two Island River	SLB09.7	SLB09	SLB09.7a		1.000e-03
This study	Two Island River	SLB09.8	SLB09	SLB09.8a		1.000e-03
This study	Two Island River	SLB10.1	SLB10	SLB10.1a		1.000e-03
This study	Two Island River	SLB10.2	SLB10	SLB10.2a		1.000e-03
This study	Two Island River	SLB10.3	SLB10	SLB10.3a		1.000e-03
This study	Two Island River	SLB10.4	SLB10	SLB10.4a		1.000e-03
This study	Two Island River	SLB10.5	SLB10	SLB10.5a		1.000e-03
This study	Two Island River	SLB10.6	SLB10	SLB10.6a		1.000e-03
This study	Two Island River	SLB10.7	SLB10	SLB10.7a		1.000e-03
This study	Two Island River	SLB10.8	SLB10	SLB10.8a		1.000e-03
This study	Two Island River	SLB10.9	SLB10	SLB10.9a	1.700e-05	
This study	Two Island River	SLB10.10	SLB10	SLB10.10a	1.700e-05	
This study	Two Island River	SLB11.1	SLB11	SLB11.1a		1.000e-03
This study	Two Island River	SLB11.2	SLB11	SLB11.2a		1.000e-03
This study	Two Island River	SLB11.3	SLB11	SLB11.3a		1.000e-03
This study	Two Island River	SLB11.4	SLB11	SLB11.4a		1.000e-03
This study	Two Island River	SLB11.5	SLB11	SLB11.5a		1.000e-03
This study	Two Island River	SLB11.6	SLB11	SLB11.6a		1.000e-03
This study	Two Island River	SLB11.7	SLB11	SLB11.7a		1.000e-03
This study	Two Island River	SLB11.8	SLB11	SLB11.8a		1.000e-03
This study	Two Island River	SLB11.9	SLB11	SLB11.9a		1.000e-03
This study	Two Island River	SLB12.1	SLB12	SLB12.1a		1.000e-03
This study	Two Island River	SLB12.2	SLB12	SLB12.2a		1.000e-03
This study	Two Island River	SLB12.3	SLB12	SLB12.3a		1.000e-03
This study	Two Island River	SLB12.4	SLB12	SLB12.4a		1.000e-03
This study	Two Island River	SLB12.5	SLB12	SLB12.5a		1.000e-03
This study	Two Island River	SLB12.6	SLB12	SLB12.6a		1.000e-03
This study	Two Island River	SLB12.7	SLB12	SLB12.7a		1.000e-03
This study	Two Island River	SLB12.8	SLB12	SLB12.8a		1.000e-03
This study	Two Island River	SLB12.9	SLB12	SLB12.9a		1.000e-03
This study	Two Island River	SLB13.1	SLB13	SLB13.1a		1.000e-03
This study	Two Island River	SLB13.2	SLB13	SLB13.2a		1.000e-03
This study	Two Island River	SLB13.3	SLB13	SLB13.3a		1.000e-03
This study	Two Island River	SLB13.4	SLB13	SLB13.4a		1.000e-03
This study	Two Island River	SLB13.5	SLB13	SLB13.5a		1.000e-03
This study	Two Island River	SLB13.6	SLB13	SLB13.6a		1.000e-03
This study	Two Island River	SLB13.7	SLB13	SLB13.7a		1.000e-03
This study	Two Island River	SLB13.8	SLB13	SLB13.8a		1.000e-03
This study	Two Island River	SLB14.1	SLB14	SLB14.1a		1.000e-03
This study	Two Island River	SLB14.2	SLB14	SLB14.2a		1.000e-03
This study	Two Island River	SLB14.3	SLB14	SLB14.3a		1.000e-03
This study	Two Island River	SLB14.4	SLB14	SLB14.4a		1.000e-03
This study	Two Island River	SLB14.5	SLB14	SLB14.5a		1.000e-03
This study	Two Island River	SLB14.6	SLB14	SLB14.6a		1.000e-03
This study	Two Island River	SLB14.7	SLB14	SLB14.7a		1.000e-03
This study	Two Island River	SLB14.8	SLB14	SLB14.8a		1.000e-03
This study	Two Island River	SLB14.9	SLB14	SLB14.9a		1.000e-03
This study	Two Island River	SLB15.1	SLB15	SLB15.1a		1.000e-03
This study	Two Island River	SLB15.2	SLB15	SLB15.2a		1.000e-03
This study	Two Island River	SLB15.3	SLB15	SLB15.3a		1.000e-03
This study	Two Island River	SLB15.4	SLB15	SLB15.4a		1.000e-03
This study	Two Island River	SLB15.5	SLB15	SLB15.5a		1.000e-03
This study	Two Island River	SLB15.6	SLB15	SLB15.6a		1.000e-03
This study	Two Island River	SLB15.7	SLB15	SLB15.7a		1.000e-03
This study	Two Island River	SLB15.8	SLB15	SLB15.8a		1.000e-03
This study	Two Island River	SLB15.9	SLB15	SLB15.9a		1.000e-03
This study	Two Island River	SLB16.1	SLB16	SLB16.1a		1.000e-03
This study	Two Island River	SLB16.2	SLB16	SLB16.2a		1.000e-03
This study	Two Island River	SLB16.3	SLB16	SLB16.3a		1.000e-03
This study	Two Island River	SLB16.4	SLB16	SLB16.4a		1.000e-03
This study	Two Island River	SLB16.5	SLB16	SLB16.5a		1.000e-03
This study	Two Island River	SLB16.6	SLB16	SLB16.6a		1.000e-03
This study	Two Island River	SLB16.7	SLB16	SLB16.7a		1.000e-03
This study	Two Island River	SLB16.8	SLB16	SLB16.8a		1.000e-03
This study	Two Island River	SLB16.9	SLB16	SLB16.9a		1.000e-03
This study	Two Island River	SLB17.1	SLB17	SLB17.1a		1.000e-03
This study	Two Island River	SLB17.2	SLB17	SLB17.2a		1.000e-03
This study	Two Island River	SLB17.3	SLB17	SLB17.3a		1.000e-03
This study	Two Island River	SLB17.4	SLB17	SLB17.4a		1.000e-03
This study	Two Island River	SLB17.5	SLB17	SLB17.5a		1.000e-03
This study	Two Island River	SLB17.6	SLB17	SLB17.6a		1.000e-03
This study	Two Island River	SLB17.7	SLB17	SLB17.7a		1.000e-03
This study	Two Island River	SLB17.8	SLB17	SLB17.8a		1.000e-03
This study	Two Island River	SLB18.1	SLB18	SLB18.1a		1.000e-03
This study	Two Island River	SLB18.2	SLB18	SLB18.2a		1.000e-03
This study	Two Island River	SLB18.3	SLB18	SLB18.3a		1.000e-03
This study	Two Island River	SLB18.4	SLB18	SLB18.4a		1.000e-03
This study	Two Island River	SLB18.5	SLB18	SLB18.5a		1.000e-03
This study	Two Island River	SLB18.6	SLB18	SLB18.6a		1.000e-03
This study	Two Island River	SLB18.7	SLB18	SLB18.7a		1.000e-03
This study	Two Island River	SLB18.8	SLB18	SLB18.8a		1.000e-03
This study	Two Island River	SLB18.9	SLB18	SLB18.9a		1.000e-03
This study	Two Island River	SLB19.1	SLB19	SLB19.1a		1.000e-03
This study	Two Island River	SLB19.2	SLB19	SLB19.2a		1.000e-03
This study	Two Island River	SLB19.3	SLB19	SLB19.3a		1.000e-03
This study	Two Island River	SLB19.4	SLB19	SLB19.4a		1.000e-03
This study	Two Island River	SLB19.5	SLB19	SLB19.5a		1.000e-03
This study	Two Island River	SLB19.6	SLB19	SLB19.6a		1.000e-03
This study	Two Island River	SLB19.7	SLB19	SLB19.7a		1.000e-03
This study	Two Island River	SLB19.8	SLB19	SLB19.8a		1.000e-03
This study	Two Island River	SLB19.9	SLB19	SLB19.9a		1.000e-03
This study	Two Island River	SLB20.1	SLB20	SLB20.1a		1.000e-03
This study	Two Island River	SLB20.2	SLB20	SLB20.2a		1.000e-03
This study	Two Island River	SLB20.3	SLB20	SLB20.3a		1.000e-03
This study	Two Island River	SLB20.4	SLB20	SLB20.4a		1.000e-03
This study	Two Island River	SLB20.5	SLB20	SLB20.5a		1.000e-03
This study	Two Island River	SLB20.6	SLB20	SLB20.6a		1.000e-03
This study	Two Island River	SLB20.7	SLB20	SLB20.7a		1.000e-03
This study	Two Island River	SLB20.8	SLB20	SLB20.8a		1.000e-03
This study	Two Island River	SLB21.1	SLB21	SLB21.1a		1.000e-03
This study	Two Island River	SLB21.2	SLB21	SLB21.2a		1.000e-03
This study	Two Island River	SLB21.3	SLB21	SLB21.3a		1.000e-03
This study	Two Island River	SLB21.4	SLB21	SLB21.4a		1.000e-03
This study	Two Island River	SLB21.5	SLB21	SLB21.5a		1.000e-03
This study	Two Island River	SLB21.6	SLB21	SLB21.6a		1.000e-03
This study	Two Island River	SLB21.7	SLB21	SLB21.7a		1.000e-03
This study	Two Island River	SLB21.8	SLB21	SLB21.8a		1.000e-03
This study	Two Island River	SLB22.1	SLB22	SLB22.1a		1.000e-03
This study	Two Island River	SLB22.2	SLB22	SLB22.2a		1.000e-03
This study	Two Island River	SLB22.3	SLB22	SLB22.3a		1.000e-03
This study	Two Island River	SLB22.4	SLB22	SLB22.4a		1.000e-03
This study	Two Island River	SLB22.5	SLB22	SLB22.5a		1.000e-03
This study	Two Island River	SLB22.6	SLB22	SLB22.6a		1.000e-03
This study	Two Island River	SLB22.7	SLB22	SLB22.7a		1.000e-03
This study	Two Island River	SLB22.8	SLB22	SLB22.8a		1.000e-03
This study	Two Island River	SLB23.1	SLB23	SLB23.1a		1.000e-03
This study	Two Island River	SLB23.2	SLB23	SLB23.2a		1.000e-03
This study	Two Island River	SLB23.3	SLB23	SLB23.3a		1.000e-03
This study	Two Island River	SLB23.4	SLB23	SLB23.4a		1.000e-03
This study	Two Island River	SLB23.5	SLB23	SLB23.5a		1.000e-03
This study	Two Island River	SLB23.6	SLB23	SLB23.6a		1.000e-03
This study	Two Island River	SLB23.7	SLB23	SLB23.7a		1.000e-03
This study	Two Island River	SLB23.8	SLB23	SLB23.8a		1.000e-03
This study	Two Island River	SLB24.1	SLB24	SLB24.1a		1.000e-03
This study	Two Island River	SLB24.2	SLB24	SLB24.2a		1.000e-03
This study	Two Island River	SLB24.3	SLB24	SLB24.3a		1.000e-03
This study	Two Island River	SLB24.4	SLB24	SLB24.4a		1.000e-03
This study	Two Island River	SLB24.5	SLB24	SLB24.5a		1.000e-03
This study	Two Island River	SLB24.6	SLB24	SLB24.6a		1.000e-03
This study	Two Island River	SLB24.7	SLB24	SLB24.7a		1.000e-03
This study	Two Island River	SLB24.8	SLB24	SLB24.8a		1.000e-03
This study	Two Island River	SLB24.9	SLB24	SLB24.9a		1.000e-03
This study	Two Island River	SLB25.1	SLB25	SLB25.1a		1.000e-03
This study	Two Island River	SLB25.2	SLB25	SLB25.2a		1.000e-03
This study	Two Island River	SLB25.3	SLB25	SLB25.3a		1.000e-03
This study	Two Island River	SLB25.4	SLB25	SLB25.4a		1.000e-03
This study	Two Island River	SLB25.5	SLB25	SLB25.5a		1.000e-03
This study	Two Island River	SLB25.6	SLB25	SLB25.6a		1.000e-03
This study	Two Island River	SLB25.7	SLB25	SLB25.7a		1.000e-03
This study	Two Island River	SLB25.8	SLB25	SLB25.8a		1.000e-03
This study	Two Island River	SLB25.9	SLB25	SLB25.9a		1.000e-03
This study	Two Island River	SLB25.10	SLB25	SLB25.10a		1.000e-03
This study	Two Island River	SLB26.1	SLB26	SLB26.1a		1.000e-03
This study	Two Island River	SLB26.2	SLB26	SLB26.2a		1.000e-03
This study	Two Island River	SLB26.3	SLB26	SLB26.3a		1.000e-03
This study	Two Island River	SLB26.4	SLB26	SLB26.4a		1.000e-03
This study	Two Island River	SLB26.5	SLB26	SLB26.5a		1.000e-03
This study	Two Island River	SLB26.6	SLB26	SLB26.6a		1.000e-03
This study	Two Island River	SLB26.7	SLB26	SLB26.7a		1.000e-03
This study	Two Island River	SLB26.8	SLB26	SLB26.8a		1.000e-03
This study	Two Island River	SLB27.1	SLB27	SLB27.1a		1.000e-03
This study	Two Island River	SLB27.2	SLB27	SLB27.2a		1.000e-03
This study	Two Island River	SLB27.3	SLB27	SLB27.3a		1.000e-03
This study	Two Island River	SLB27.4	SLB27	SLB27.4a		1.000e-03
This study	Two Island River	SLB27.5	SLB27	SLB27.5a		1.000e-03
This study	Two Island River	SLB27.6	SLB27	SLB27.6a		1.000e-03
This study	Two Island River	SLB27.7	SLB27	SLB27.7a		1.000e-03
This study	Two Island River	SLB27.8	SLB27	SLB27.8a		1.000e-03
This study	Two Island River	SLB27.9	SLB27	SLB27.9a		1.000e-03
This study	Two Island River	SLB28.1	SLB28	SLB28.1a		1.000e-03
This study	Two Island River	SLB28.2	SLB28	SLB28.2a		1.000e-03
This study	Two Island River	SLB28.3	SLB28	SLB28.3a		1.000e-03
This study	Two Island River	SLB28.4	SLB28	SLB28.4a		1.000e-03
This study	Two Island River	SLB28.5	SLB28	SLB28.5a		1.000e-03
This study	Two Island River	SLB28.6	SLB28	SLB28.6a		1.000e-03
This study	Two Island River	SLB28.7	SLB28	SLB28.7a		1.000e-03
This study	Two Island River	SLB28.8	SLB28	SLB28.8a		1.000e-03
This study	Two Island River	SLB29.2	SLB29	SLB29.2a		1.000e-03
This study	Two Island River	SLB29.3	SLB29	SLB29.3a		1.000e-03
This study	Two Island River	SLB29.4	SLB29	SLB29.4a		1.000e-03
This study	Two Island River	SLB29.5	SLB29	SLB29.5a		1.000e-03
This study	Two Island River	SLB29.6	SLB29	SLB29.6a		1.000e-03
This study	Two Island River	SLB29.7	SLB29	SLB29.7a		1.000e-03
This study	Two Island River	SLB29.8	SLB29	SLB29.8a		1.000e-03
This study	Two Island River	SLB30.1	SLB30	SLB30.1a		1.000e-03
This study	Two Island River	SLB30.2	SLB30	SLB30.2a		1.000e-03
This study	Two Island River	SLB30.3	SLB30	SLB30.3a		1.000e-03
This study	Two Island River	SLB30.4	SLB30	SLB30.4a		1.000e-03
This study	Two Island River	SLB30.5	SLB30	SLB30.5a		1.000e-03
This study	Two Island River	SLB30.6	SLB30	SLB30.6a		1.000e-03
This study	Two Island River	SLB30.7	SLB30	SLB30.7a		1.000e-03
This study	Two Island River	SLB30.8	SLB30	SLB30.8a		1.000e-03
This study	Two Island River	SLB31.1	SLB31	SLB31.1a		1.000e-03
This study	Two Island River	SLB31.2	SLB31	SLB31.2a		1.000e-03
This study	Two Island River	SLB31.3	SLB31	SLB31.3a		1.000e-03
This study	Two Island River	SLB31.4	SLB31	SLB31.4a		1.000e-03
This study	Two Island River	SLB31.5	SLB31	SLB31.5a		1.000e-03
This study	Two Island River	SLB31.6	SLB31	SLB31.6a		1.000e-03
This study	Two Island River	SLB31.7	SLB31	SLB31.7a		1.000e-03
This study	Two Island River	SLB31.8	SLB31	SLB31.8a		1.000e-03
This study	Two Island River	SLB31.9	SLB31	SLB31.9a		1.000e-03
This study	Two Island River	SLB32.1	SLB32	SLB32.1a		1.000e-03
This study	Two Island River	SLB32.2	SLB32	SLB32.2a		1.000e-03
This study	Two Island River	SLB32.3	SLB32	SLB32.3a		1.000e-03
This study	Two Island River	SLB32.4	SLB32	SLB32.4a		1.000e-03
This study	Two Island River	SLB32.5	SLB32	SLB32.5a		1.000e-03
This study	Two Island River	SLB32.6	SLB32	SLB32.6a		1.000e-03
This study	Two Island River	SLB32.7	SLB32	SLB32.7a		1.000e-03
This study	Two Island River	SLB32.8	SLB32	SLB32.8a		1.000e-03
This study	Two Island River	SLB33.1	SLB33	SLB33.1a		1.000e-03
This study	Two Island River	SLB33.2	SLB33	SLB33.2a		1.000e-03
This study	Two Island River	SLB33.3	SLB33	SLB33.3a		1.000e-03
This study	Two Island River	SLB33.4	SLB33	SLB33.4a		1.000e-03
This study	Two Island River	SLB33.5	SLB33	SLB33.5a		1.000e-03
This study	Two Island River	SLB33.6	SLB33	SLB33.6a		1.000e-03
This study	Two Island River	SLB33.7	SLB33	SLB33.7a		1.000e-03
This study	Two Island River	SLB33.8	SLB33	SLB33.8a		1.000e-03
This study	Two Island River	SLB34.1	SLB34	SLB34.1a		1.000e-03
This study	Two Island River	SLB34.2	SLB34	SLB34.2a		1.000e-03
This study	Two Island River	SLB34.3	SLB34	SLB34.3a		1.000e-03
This study	Two Island River	SLB34.4	SLB34	SLB34.4a		1.000e-03
This study	Two Island River	SLB34.5	SLB34	SLB34.5a		1.000e-03
This study	Two Island River	SLB34.6	SLB34	SLB34.6a		1.000e-03
This study	Two Island River	SLB34.7	SLB34	SLB34.7a		1.000e-03
This study	Two Island River	SLB34.8	SLB34	SLB34.8a		1.000e-03
This study	Two Island River	SLB35.1	SLB35	SLB35.1a		1.000e-03
This study	Two Island River	SLB35.2	SLB35	SLB35.2a		1.000e-03
This study	Two Island River	SLB35.3	SLB35	SLB35.3a		1.000e-03
This study	Two Island River	SLB35.4	SLB35	SLB35.4a		1.000e-03
This study	Two Island River	SLB35.5	SLB35	SLB35.5a		1.000e-03
This study	Two Island River	SLB35.6	SLB35	SLB35.6a		1.000e-03
This study	Two Island River	SLB35.7	SLB35	SLB35.7a		1.000e-03
This study	Two Island River	SLB35.8	SLB35	SLB35.8a		1.000e-03
This study	Two Island River	SLB35.9	SLB35	SLB35.9a		1.000e-03
This study	Two Island River	SLB36.1	SLB36	SLB36.1a		1.000e-03
This study	Two Island River	SLB36.2	SLB36	SLB36.2a		1.000e-03
This study	Two Island River	SLB36.3	SLB36	SLB36.3a		1.000e-03
This study	Two Island River	SLB36.4	SLB36	SLB36.4a		1.000e-03
This study	Two Island River	SLB36.5	SLB36	SLB36.5a		1.000e-03
This study	Two Island River	SLB36.6	SLB36	SLB36.6a		1.000e-03
This study	Two Island River	SLB36.7	SLB36	SLB36.7a		1.000e-03
This study	Two Island River	SLB36.8	SLB36	SLB36.8a		1.000e-03
This study	Two Island River	SLB36.9	SLB36	SLB36.9a		1.000e-03
This study	Two Island River	SLB37.1	SLB37	SLB37.1a		1.000e-03
This study	Two Island River	SLB37.2	SLB37	SLB37.2a		1.000e-03
This study	Two Island River	SLB37.3	SLB37	SLB37.3a		1.000e-03
This study	Two Island River	SLB37.4	SLB37	SLB37.4a		1.000e-03
This study	Two Island River	SLB37.5	SLB37	SLB37.5a		1.000e-03
This study	Two Island River	SLB37.6	SLB37	SLB37.6a		1.000e-03
This study	Two Island River	SLB37.7	SLB37	SLB37.7a		1.000e-03
This study	Two Island River	SLB37.8	SLB37	SLB37.8a		1.000e-03
This study	Two Island River	SLB37.9	SLB37	SLB37.9a		1.000e-03
This study	Two Island River	SLB38.1	SLB38	SLB38.1a		1.000e-03
This study	Two Island River	SLB38.2	SLB38	SLB38.2a		1.000e-03
This study	Two Island River	SLB38.3	SLB38	SLB38.3a		1.000e-03
This study	Two Island River	SLB38.4	SLB38	SLB38.4a		1.000e-03
This study	Two Island River	SLB38.5	SLB38	SLB38.5a		1.000e-03
This study	Two Island River	SLB38.6	SLB38	SLB38.6a		1.000e-03
This study	Two Island River	SLB38.7	SLB38	SLB38.7a		1.000e-03
This study	Two Island River	SLB38.8	SLB38	SLB38.8a		1.000e-03
This study	Two Island River	SLB39.1	SLB39	SLB39.1a		1.000e-03
This study	Two Island River	SLB39.2	SLB39	SLB39.2a		1.000e-03
This study	Two Island River	SLB39.3	SLB39	SLB39.3a		1.000e-03
This study	Two Island River	SLB39.4	SLB39	SLB39.4a		1.000e-03
This study	Two Island River	SLB39.5	SLB39	SLB39.5a		1.000e-03
This study	Two Island River	SLB39.6	SLB39	SLB39.6a		1.000e-03
This study	Two Island River	SLB39.7	SLB39	SLB39.7a		1.000e-03
This study	Two Island River	SLB39.8	SLB39	SLB39.8a		1.000e-03
This study	Two Island River	SLB40.2	SLB40	SLB40.2a		1.000e-03
This study	Two Island River	SLB40.3	SLB40	SLB40.3a		1.000e-03
This study	Two Island River	SLB40.4	SLB40	SLB40.4a		1.000e-03
This study	Two Island River	SLB40.5	SLB40	SLB40.5a		1.000e-03
This study	Two Island River	SLB40.6	SLB40	SLB40.6a		1.000e-03
This study	Two Island River	SLB40.7	SLB40	SLB40.7a		1.000e-03
This study	Two Island River	SLB40.8	SLB40	SLB40.8a		1.000e-03
