tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Two Island River	SLB01.1	SLB01	SLB01.1a	SLB01.1a:LP-DIR-T	hargrave 2015-11-08 09:23:38	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	4.2	253.4	l	g	7.2	15.7	11	-1
	This study	Two Island River	SLB01.1	SLB01	SLB01.1a	SLB01.1a:LP-DIR-T	hargrave 2015-11-08 09:23:38	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	1.0	256.5	l	g	5.5	1.6	8	-1
	This study	Two Island River	SLB01.1	SLB01	SLB01.1a	SLB01.1a:LP-DIR-T	hargrave 2015-11-08 09:23:38	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	4.2	277.7	l	g	14.5	15.7	11	0
	This study	Two Island River	SLB01.1	SLB01	SLB01.1a	SLB01.1a:LP-DIR-T	hargrave 2015-11-08 09:23:38	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	1.0	279.5	l	g	11.5	1.6	8	0
	This study	Two Island River	SLB01.1	SLB01	SLB01.1a	SLB01.1a:LP-DIR-T	hargrave 2015-11-08 09:23:38	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	4.2	273.7	l	g	28.3	15.7	11	100
	This study	Two Island River	SLB01.1	SLB01	SLB01.1a	SLB01.1a:LP-DIR-T	hargrave 2015-11-08 09:23:38	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	1.0	276.3	l	g	25.6	1.6	8	100
	This study	Two Island River	SLB01.2	SLB01	SLB01.2a	SLB01.2a:LP-DIR-T	hargrave 2015-11-08 09:25:16	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	3.4	251.7	l	g	-5.7	10.0	11	-1
	This study	Two Island River	SLB01.2	SLB01	SLB01.2a	SLB01.2a:LP-DIR-T	hargrave 2015-11-08 09:25:16	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	0.9	253.4	l	g	-7.3	0.9	8	-1
	This study	Two Island River	SLB01.2	SLB01	SLB01.2a	SLB01.2a:LP-DIR-T	hargrave 2015-11-08 09:25:16	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	3.4	274.5	l	g	17.7	10.0	11	0
	This study	Two Island River	SLB01.2	SLB01	SLB01.2a	SLB01.2a:LP-DIR-T	hargrave 2015-11-08 09:25:16	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	0.9	272.9	l	g	15.9	0.9	8	0
	This study	Two Island River	SLB01.2	SLB01	SLB01.2a	SLB01.2a:LP-DIR-T	hargrave 2015-11-08 09:25:16	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	3.4	269.5	l	g	30.8	10.0	11	100
	This study	Two Island River	SLB01.2	SLB01	SLB01.2a	SLB01.2a:LP-DIR-T	hargrave 2015-11-08 09:25:16	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	0.9	268.3	l	g	28.7	0.9	8	100
	This study	Two Island River	SLB01.3	SLB01	SLB01.3a	SLB01.3a:LP-DIR-T	hargrave 2015-11-08 09:26:55	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	2.2	255.5	l	g	4.7	8.0	11	-1
	This study	Two Island River	SLB01.3	SLB01	SLB01.3a	SLB01.3a:LP-DIR-T	hargrave 2015-11-08 09:26:55	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	6.0	249.0	l	g	2.6	2.8	8	-1
	This study	Two Island River	SLB01.3	SLB01	SLB01.3a	SLB01.3a:LP-DIR-T	hargrave 2015-11-08 09:26:55	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	2.2	277.2	l	g	12.6	8.0	11	0
	This study	Two Island River	SLB01.3	SLB01	SLB01.3a	SLB01.3a:LP-DIR-T	hargrave 2015-11-08 09:26:55	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	6.0	270.6	l	g	14.8	2.8	8	0
	This study	Two Island River	SLB01.3	SLB01	SLB01.3a	SLB01.3a:LP-DIR-T	hargrave 2015-11-08 09:26:55	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	2.2	273.6	l	g	26.2	8.0	11	100
	This study	Two Island River	SLB01.3	SLB01	SLB01.3a	SLB01.3a:LP-DIR-T	hargrave 2015-11-08 09:26:55	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	6.0	266.0	l	g	27.1	2.8	8	100
	This study	Two Island River	SLB01.4	SLB01	SLB01.4a	SLB01.4a:LP-DIR-T	hargrave 2015-11-08 09:28:33	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	2.7	268.8	l	g	17.1	15.7	11	-1
	This study	Two Island River	SLB01.4	SLB01	SLB01.4a	SLB01.4a:LP-DIR-T	hargrave 2015-11-08 09:28:33	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	1.8	269.1	l	g	14.6	1.5	8	-1
	This study	Two Island River	SLB01.4	SLB01	SLB01.4a	SLB01.4a:LP-DIR-T	hargrave 2015-11-08 09:28:33	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	2.7	276.2	l	g	15.3	15.7	11	0
	This study	Two Island River	SLB01.4	SLB01	SLB01.4a	SLB01.4a:LP-DIR-T	hargrave 2015-11-08 09:28:33	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	1.8	275.0	l	g	13.1	1.5	8	0
	This study	Two Island River	SLB01.4	SLB01	SLB01.4a	SLB01.4a:LP-DIR-T	hargrave 2015-11-08 09:28:33	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	2.7	271.9	l	g	28.8	15.7	11	100
	This study	Two Island River	SLB01.4	SLB01	SLB01.4a	SLB01.4a:LP-DIR-T	hargrave 2015-11-08 09:28:33	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	1.8	271.2	l	g	26.3	1.5	8	100
	This study	Two Island River	SLB01.5	SLB01	SLB01.5a	SLB01.5a:LP-DIR-T	hargrave 2015-11-08 09:30:20	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	10.3	202.1	l	g	-11.2	15.1	11	-1
	This study	Two Island River	SLB01.5	SLB01	SLB01.5a	SLB01.5a:LP-DIR-T	hargrave 2015-11-08 09:30:20	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	2.1	211.1	l	g	-12.8	1.2	8	-1
	This study	Two Island River	SLB01.5	SLB01	SLB01.5a	SLB01.5a:LP-DIR-T	hargrave 2015-11-08 09:30:20	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	10.3	266.1	l	g	16.6	15.1	11	0
	This study	Two Island River	SLB01.5	SLB01	SLB01.5a	SLB01.5a:LP-DIR-T	hargrave 2015-11-08 09:30:20	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	2.1	274.6	l	g	13.1	1.2	8	0
	This study	Two Island River	SLB01.5	SLB01	SLB01.5a	SLB01.5a:LP-DIR-T	hargrave 2015-11-08 09:30:20	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	10.3	260.9	l	g	27.9	15.1	11	100
	This study	Two Island River	SLB01.5	SLB01	SLB01.5a	SLB01.5a:LP-DIR-T	hargrave 2015-11-08 09:30:20	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	2.1	270.8	l	g	26.3	1.2	8	100
	This study	Two Island River	SLB01.6	SLB01	SLB01.6a	SLB01.6a:LP-DIR-T	hargrave 2015-11-08 09:32:03	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	1.4	231.6	l	g	-11.4	5.8	11	-1
	This study	Two Island River	SLB01.6	SLB01	SLB01.6a	SLB01.6a:LP-DIR-T	hargrave 2015-11-08 09:32:03	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	0.4	231.9	l	g	-12.2	2.3	8	-1
	This study	Two Island River	SLB01.6	SLB01	SLB01.6a	SLB01.6a:LP-DIR-T	hargrave 2015-11-08 09:32:03	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	1.4	275.4	l	g	10.8	5.8	11	0
	This study	Two Island River	SLB01.6	SLB01	SLB01.6a	SLB01.6a:LP-DIR-T	hargrave 2015-11-08 09:32:03	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	0.4	275.4	l	g	10.0	2.3	8	0
	This study	Two Island River	SLB01.6	SLB01	SLB01.6a	SLB01.6a:LP-DIR-T	hargrave 2015-11-08 09:32:03	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	1.4	272.1	l	g	24.2	5.8	11	100
	This study	Two Island River	SLB01.6	SLB01	SLB01.6a	SLB01.6a:LP-DIR-T	hargrave 2015-11-08 09:32:03	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	0.4	272.2	l	g	23.4	2.3	8	100
	This study	Two Island River	SLB01.7	SLB01	SLB01.7a	SLB01.7a:LP-DIR-T	hargrave 2015-11-08 09:33:45	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	2.4	244.0	l	g	-17.6	20.4	11	-1
	This study	Two Island River	SLB01.7	SLB01	SLB01.7a	SLB01.7a:LP-DIR-T	hargrave 2015-11-08 09:33:45	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	2.8	243.1	l	g	-16.2	2.8	8	-1
	This study	Two Island River	SLB01.7	SLB01	SLB01.7a	SLB01.7a:LP-DIR-T	hargrave 2015-11-08 09:33:45	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	2.4	274.4	l	g	8.8	20.4	11	0
	This study	Two Island River	SLB01.7	SLB01	SLB01.7a	SLB01.7a:LP-DIR-T	hargrave 2015-11-08 09:33:45	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	2.8	274.8	l	g	10.3	2.8	8	0
	This study	Two Island River	SLB01.7	SLB01	SLB01.7a	SLB01.7a:LP-DIR-T	hargrave 2015-11-08 09:33:45	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	2.4	271.4	l	g	22.0	20.4	11	100
	This study	Two Island River	SLB01.7	SLB01	SLB01.7a	SLB01.7a:LP-DIR-T	hargrave 2015-11-08 09:33:45	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	2.8	271.5	l	g	23.6	2.8	8	100
	This study	Two Island River	SLB01.8	SLB01	SLB01.8a	SLB01.8a:LP-DIR-T	hargrave 2015-11-08 09:35:22	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		2	mag	u	5.1	237.2	l	g	-23.2	13.8	11	-1
	This study	Two Island River	SLB01.8	SLB01	SLB01.8a	SLB01.8a:LP-DIR-T	hargrave 2015-11-08 09:35:22	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	953	868	K		2	hem	u	0.8	242.0	l	g	-24.5	1.2	8	-1
	This study	Two Island River	SLB01.8	SLB01	SLB01.8a	SLB01.8a:LP-DIR-T	hargrave 2015-11-08 09:35:22	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		2	mag	u	5.1	273.3	l	g	16.5	13.8	11	0
	This study	Two Island River	SLB01.8	SLB01	SLB01.8a	SLB01.8a:LP-DIR-T	hargrave 2015-11-08 09:35:22	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	953	868	K		2	hem	u	0.8	274.9	l	g	12.3	1.2	8	0
	This study	Two Island River	SLB01.8	SLB01	SLB01.8a	SLB01.8a:LP-DIR-T	hargrave 2015-11-08 09:35:22	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	573	K		2	mag	u	5.1	268.5	l	g	29.4	13.8	11	100
	This study	Two Island River	SLB01.8	SLB01	SLB01.8a	SLB01.8a:LP-DIR-T	hargrave 2015-11-08 09:35:22	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	953	868	K		2	hem	u	0.8	271.2	l	g	25.5	1.2	8	100
