THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,TOP,NOTES,BEDFORMS,SAMPLE,LAYER,d13c,d18o,SAMP_HEIGHT,STRAT_EC,THICKNESS (NO COVER),THICKNESS (WITH COVER)
1.5,mv,,,,SLB01,,,,,,0,,4.3,4.3
2.8,v,,hem,flow top,,,,,,,,,,
0.2,mv,,,,SLB02,,,,,,4.3,,52.1,64.4
26.6,m,,ophitic,,,,,,,,,,,
2.3,cover,,,,,,,,,,,,,
2.8,m,,,,,,,,,,,,,
10,cover,,,,,,,,,,,,,
7.9,m,,ophitic,,,,,,,,,,,
0.4,mv,,"segregation/veiscle sheet, SLB-54 geochron sample",,,,,,,,,,,
7.8,m,,subophitic,,,,,,,,,,,
3.3,mv,,,,,,,,,,,,,
3.1,v,,hem and pahoehoe,flow top,,,,,,,,,,
1.2,mv,,,,SLB03,,,,,,68.7,,2.9,2.9
1.7,v,,clastic dikes,flow top,,,,,,,,,,
0.4,mv,,pipes,,SLB06,,,,,,71.6,,4.8,4.8
3.1,m,,subophitic,,,,,,,,,,,
0.6,mv,,,,,,,,,,,,,
0.7,v,,,flow top,,,,,,,,,,
1,mv,,,,SLB04,,,,,,76.4,,2,2
1,v,,,flow top,,,,,,,,,,
0.3,mv,,pipes,,SLB05,,,,,,78.4,,16.2,16.2
9,m,,,,,,,,,,,,,
4.5,mv,,,,,,,,,,,,,
2.4,v,,hem and pahoehoe,flow top,,,,,,,,,,
0.3,mv,,pipe,,SLB07,,,,,,94.6,,5.5,5.5
2.3,m,,,,,,,,,,,,,
0.8,mv,,,,,,,,,,,,,
2.1,v,,hem and pahoehoe,flow top,,,,,,,,,,
0.4,mv,,pipes,,SLB08,,,,,,100.1,,2.8,2.8
0.8,m,,,,,,,,,,,,,
0.5,mv,,,,,,,,,,,,,
1.1,v,,hem and pahoehoe,flow top,,,,,,,,,,
0.4,mv,,pipe,,SLB09,,,,,,102.9,,4.7,26
1.3,m,,,,,,,,,,103.3,,,
0.5,mv,,,,,,,,,,104.6,,,
18.5,cover,,,,,,,,,,105.1,,,
1.8,v,,,flow top,,,,,,,123.6,,,
2.8,cover,,,,,,,,,,125.4,,,
0.7,mv,,,,,,,,,,128.2,,,
