Formation,Plate_ID,Terrane,AgeUpper,AgeLower,AgeNominal,Q,N(n),Dec,Inc,a95,A95,Block,k,CPlat,CPlon,SLat,SLon,PLat,PLon,RefLat,RefLon,Reference,Comment
Zigan formation clastic rocks -C,,Baltica,551,544,547.5,5,99,107.7,-15.4,,4.1,,,-16.2,138.4,53.7,56.7,16.2,318.4,46.78,267.9,"Levashova, N.M., Bazhenov, M.L., Meert, J.G., Kuznetsov, N.B., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.",B
MEAN Vendian sediments,,Baltica,556,555,555.5,5,651,298.5,38.5,,9.9,,,31.3,293,65.5,40,31.3,293,46.78,267.9,LULEÅ WORKING GROUP MEAN,B
Chernokamenskay group sediments -C,,Baltica,570,544,557,5,110,297.2,8,,6,,,17.3,306.7,58.5,58.4,17.3,306.7,46.78,267.9,"Fedorova, N.M., Levashova, N.M., Meert, J.G., Maslov, A.V., Krupenin, M.T.",B
Basu-Kukkarauk formation -C,,Baltica,567,557,562,5,117,55.2,-37.2,,5.8,,,1.1,187.3,54,57,-1.1,7.3,46.78,267.9,"Golovanova, I.V., Danukalov, K.N., Kozlov, V.I., Puchkov, V.N., Pavlov, V.E., Gallet, Y., Levashova, N.M., Sirota, G.S., Khairullin, R.R., Bazhenov, M.L.",B
Kurgashlya formation,,Baltica,570,560,565,5,44,313.2,51.9,,5.3,,,50.9,314.5,53.32,57.53,50.9,314.5,46.78,267.9,"Lubnina,N.V., Pisarevsky, S. A., Puchkov, V.N., Kozlov, V.I., Sergeeva, N.D.",A
Bakeevo formation,,Baltica,570,560,565,6,48,316.5,36.3,,5.3,,,42.3,299.1,54.94,58.16,42.3,299.1,46.78,267.9,"Lubnina,N.V., Pisarevsky, S. A., Puchkov, V.N., Kozlov, V.I., Sergeeva, N.D.",A
Volhyn lavas,,Baltica,580,561,570.5,4,106,216.4,70.2,,28.3,,,19.8,4.4,51.23,26.04,19.8,4.4,46.78,267.9,"Elming,S.-Å., Kravchenko,S.N., Layer,P., Rusakov,O.M., Glevasskaya,A.M., Mikhailova,N.P., Bachtadse,V.",B
MEAN Fen complex,,Baltica,603,565,584,4,241,207.9,-46.6,,5.6,,,53.2,145.7,59.3,9.3,53.2,145.7,46.78,267.9,LULEÅ WORKING GROUP MEAN,B
Egersund dykes,,Baltica,619,613,616,5,68,120,69,,15.66304419,,,31.4,44.1,58.8,5.9,-31.4,224.1,46.78,267.9,"Walderhaug, H.J., Torsvik, T.H., Halvorsen, E.",A
J_nisj_rvi Impact Melt,,Baltica,686,678,682,3,22,101.5,73.1,,10.46700371,,,45,76.9,62.1,30.9,-45,256.9,46.78,267.9,"Salminen, J., Donadini, F., Pesonen, L.J., Masaitis, V.L., Naumov, M.V.",B
Katav Formation,,Baltica,836,780,800,5,243,51.8,31.9,,11.4,,,35.7,169.9,54.8,57.4,35.7,169.9,46.78,267.9,"Pavlov,V. Gallet, Y.; age constraints from Ovchinnikova et al., 1998, 2000",B
Hunnedalen Dykes,,Baltica,875,821,848,5,69,294,-75,,10.48808848,,,-41,222,58.900002,7,-41,222,46.78,267.9,"Walderhaug,H.J., Torsvik,T.H., Eide,E.A., Sundvoll,B., Bingen,B.",B
MEAN Rogaland igneous cx,,Baltica,935,870,902.5,4,100,310.1,-79.7,,10.1,,,-43.2,207.9,58.3,6.9,-43.2,207.9,46.78,267.9,LULEÅ WORKING GROUP MEAN,B
Bratton and Algon Igneous Rocks,,Baltica,927,905,916,3,65,300.399994,-23.799999,,3.872983346,,,5,249,57.920399,11.7247,5,249,46.78,267.9,"Stearn,J.E.F., Piper,J.D.A.",B
Dykes of central and southern Sweden,,Baltica,955,935,945,6,115,308.5517214,-38.88916231,,6.7,,,-0.9,240.7,58.4,14.2,-0.9,240.7,46.78,267.9,"Elming, S-ê„., Pisarevsky,  S.A., Layer, P., Bylund, G.",A
MEAN Blekinga dolerites,,Baltica,954,946,950,4,22,309,-16.4,,16,,,13,247,56.1,15,13,247,46.78,267.9,LULEÅ WORKING GROUP MEAN,B
Laanila-Ristijarvi Dykes,,Baltica,1095,992,1043.5,3,54,355.5,-40,,13.8,,,-2.1,212.199997,68.699997,28.1,-2.1,212.199997,46.78,267.9,"Mertanen,S., Pesonen,L.J., Huhma,H.",B
MEAN Bamble Intrusions,,Baltica,1120,975,1047.5,2,1000,316.7,-59.1,,19.3,,,-15.1,222.5,58.900002,9.5,-15.1,222.5,46.78,267.9,"Stearn,J.E.F., Piper,J.D.A.",B
MEAN post-Jotnian intrusions,,Baltica,1270,1246,1258,5,938,43,-40.1,,3.4,,,-1.8,159.1,62.4,18.1,-1.8,159.1,46.78,267.9,LULEÅ WORKING GROUP MEAN,A
Mashak suite,,Baltica,1385,1366,1375.5,5,55,50.8,-38.8,,14.8,,,1.8,193,54,57,1.8,193,46.78,267.9,"Lubnina, N.V.",B
"Lake Ladoga basalt, sill, dykes",,Baltica,1464,1440,1452,6,278,32.5,-16.7,,5.5,,,15.2,177.1,61.5,31.2,15.2,177.1,46.78,267.9,"Lubnina, N.V., Mertanen, S., Sê_derlund, U., Bogdanova, S., Vasilieva, T.I., Frank-Kamenetsky, D.",A
MEAN Bunkris/Glysjon/Oje,,Baltica,1478,1460,1469,3,65,10.6,0.3,,13.2,,,28.3,179.8,61.5,13.5,28.3,179.8,46.78,267.9,LULEÅ WORKING GROUP MEAN,B
Rede basic dykes,,Baltica,1513,1497,1505,5,53,176.8,-26.5,,9.502631215,,,41.6,201.7,62.38,17.58,41.6,201.7,46.78,267.9,"Moakhar, M.O., Elming, S.-Å.",A
Ragunda Formation,,Baltica,1519,1493,1506,4,87,14.5,45.700001,,7.122499561,,,51.599998,166.600006,63.299999,16.1,51.599998,166.600006,46.78,267.9,"Piper,J.D.A.",B
Land dyke swarm,,Baltica,1590,1566,1578,6,366,8.6,-10.7,,2.8,,,23.7,191.4,60,20,23.7,191.4,46.78,267.9,"Salminen, J.M., Klein, R., Mertanen, S., Pesonen, L.J., Fr_jd_, S., M_ntt_ri, I., Eklund, O ",A
Satakunta dyke swarm C,,Baltica,1590,1566,1578,6,104,11.5,3.3,,6.6,,,29.3,188.1,62,21.5,29.3,188.1,46.78,267.9,"Salminen, J., Mertanen, S., Evans, D.A.D.",A
Hoting basic dykes,,Baltica,1638,1590,1614,4,41,45.1,8.5,,13.7,,,21.9,146.7,64.2,16.2,21.9,146.7,46.78,267.9,"Elming, S.Å., Moakhar, M.O., Layer, P and Donadini, F.",B
Quartz porphyry dykes,,Baltica,1641,1621,1631,3,21,26.9,9.9,,9.43980932,,,30.200001,175.399994,61.299999,26.799999,30.200001,175.399994,46.78,267.9,"Neuvonen,K.J.",B
Sipoo Quartz Porphyry Dykes,,Baltica,1643,1623,1633,4,34,22.200001,-1.8,,9.369098142,,,26.4,180.399994,60.299999,25.299999,26.4,180.399994,46.78,267.9,"Mertanen,S., Pesonen,L.J.",B
Volyn-Dniestr-Bug intrusions,,Baltica-Sarmatia,1734,1710,1722,4,86,226.8,29.9,,10.2,,,10.7,163.2,50,29.6,10.7,163.2,46.78,267.9,"Elming, S.-ê„., Shumlyanskyy, L., Kravchenko, S., Layer, P., Sê_derlund, U.",B
MEAN Ropruchey sill,,Baltica-Fennoscandia,1754,1748,1751,4,30,358.8,20.1,,8.6,,,39.1,217,61.4,35.3,39.1,217,46.78,267.9,"Fedotova,M.A., Khramov,A.N., Pisakin,B.N., Priyatkin,A.A.",B
Volyn-Dniestr-Bug intrusions,,Baltica-Sarmatia,1770,1740,1755,6,1000,34.9,-10.6,,3.9,,,26.5,169.1,50.6,28.6,26.5,169.1,46.78,267.9,"Elming, S.-ê„., Shumlyanskyy, L., Kravchenko, S., Layer, P., Sê_derlund, U.",A
Shoksha Sandstones,,Baltica-Fennoscandia,1800,1750,1775,6,61,354.299988,21.6,,3.99374511,,,39.700001,221.100006,61.299999,33.799999,39.700001,221.100006,46.78,267.9,"Pisarevsky, S.A., Sokolov, S.J.",B
Smland intrusives -C,,Baltica-Fennoscandia,1784,1769,1776.5,6,58,9.3,25.1,,8,,,45.7,182.7,57.1,15.7,45.7,182.7,46.78,267.9,"Pisarevsky, S., Bylund, G.",A
Hoting gabbro,,Baltica-Fennoscandia,1796,1776,1786,4,47,331.9,37.5,,10.9,,,43,233.3,64.2,16.2,43,233.3,46.78,267.9,"Elming, S.Å., Moakhar, M.O., Layer, P and Donadini, F.",A
MEAN Late Svecofennian 1800 Ma,,Baltica-Fennoscandia,1840,1785,1812.5,3,23,351.9,40.3,,10.8,,,49.6,221,62.96666667,29.2,49.6,221,46.78,267.9,LULEÅ WORKING GROUP MEAN,B
MEAN Svecofennian 1880 Ma,,Baltica-Fennoscandia,1880,1830,1855,4,28,336.5,39.5,,5.7,,,43.8,234.2,66.1399992,23.4600002,43.8,234.2,46.78,267.9,LULEÅ WORKING GROUP MEAN,B
Tsuomasavarri Gabbro-Diorite Intrusion,,Baltica-Fennoscandia,1933,1929,1931,3,28,328.200012,41.400002,,6.015812497,,,40.200001,247.300003,69.900002,28.299999,40.200001,247.300003,46.78,267.9,"Mertanen,S., Pesonen,L.J.",B
