tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
Region	This study	47.7244	274.044128	Michipicoten Island	47.7022	274.3519
Outcrop	This study	47.53669	269.06	Two Island River	47.524091	269.07756
>>>>>>>>>>
tab 	er_samples
er_formation_name	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_bed_dip	sample_lat	sample_azimuth	er_location_name	sample_declination_correction	sample_height	sample_dip	sample_type	magic_method_codes	sample_lon	sample_class
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-1	31.8	47.723034	347.5	Michipicoten Island	0	1.5	-30	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-2	31.8	47.723034	107.4	Michipicoten Island	0	2.1	-41	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-3	31.8	47.723034	141.5	Michipicoten Island	0	2.9	-57	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-4	31.8	47.723034	142.8	Michipicoten Island	0	3	-40	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-5	31.8	47.723034	137.1	Michipicoten Island	0	3.1	-49	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-6	31.8	47.723034	142.1	Michipicoten Island	0	4.8	-65	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-7	31.8	47.723034	154.5	Michipicoten Island	0	5.3	-60	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	171.9	This study	Andesite	CM1	CM1-8	31.8	47.723034	179.2	Michipicoten Island	0	5.5	-67	Lava Flow	SO-CMD-NORTH	274.04782	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-1	25.5	47.718964	321.4	Michipicoten Island	0	1.7	-24	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-2	25.5	47.718964	54.4	Michipicoten Island	0	4.4	-28	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-3	25.5	47.718964	336.8	Michipicoten Island	0	7.8	-21	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-4	25.5	47.718964	359.3	Michipicoten Island	0	11.2	-23	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
