tab 	er_locations
location_type	er_citation_names	location_end_lat	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
Region	This study	47.7244	274.044128	Michipicoten Island	47.7022	274.3519
Outcrop	This study	47.53669	269.06	Two Island River	47.524091	269.07756
>>>>>>>>>>
tab 	er_samples
er_formation_name	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_bed_dip	sample_lat	sample_azimuth	er_location_name	sample_declination_correction	sample_height	sample_dip	sample_type	magic_method_codes	sample_lon	sample_class
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-5	25.5	47.718964	6.1	Michipicoten Island	0	17	-23	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-6	25.5	47.718964	321.0	Michipicoten Island	0	15.7	-27	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-7	25.5	47.718964	199.3	Michipicoten Island	0	15.9	-27	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-8	25.5	47.718964	352.8	Michipicoten Island	0	15.4	-24	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Cuesta Member andesite	177.7	This study	Andesite	CM2	CM2-9	25.5	47.718964	34.6	Michipicoten Island	0	14.9	-22	Lava Flow	SO-CMD-NORTH	274.04413	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.1	17	47.53669	18.5	Two Island River	0	0.8	-30	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.2	17	47.53669	11.7	Two Island River	0	0.7	-86	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.3	17	47.53669	15.8	Two Island River	0	0.4	-38	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.4	17	47.53669	358.4	Two Island River	0	0.5	-30	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.5	17	47.53669	63.5	Two Island River	0	1.3	-30	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.6	17	47.53669	44.0	Two Island River	0	1.7	-35	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.7	17	47.53669	34.3	Two Island River	0	3	-53	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.8	17	47.53669	39.6	Two Island River	0	2.5	-65	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB01	SLB01.9	17	47.53669	32.2	Two Island River	0	3.2	-51	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.1	17	47.53669	51.6	Two Island River	0	6.3	-91	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.2	17	47.53669	70.6	Two Island River	0	7.3	-35	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.3	17	47.53669	41.1	Two Island River	0	10	-52	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.4	17	47.53669	31.3	Two Island River	0	10.5	-89	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.5	17	47.53669	39.2	Two Island River	0	14.8	-48	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.6	17	47.53669	35.0	Two Island River	0	14.8	-53	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.7	17	47.53669	29.3	Two Island River	0	14.9	-56	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.8	17	47.53669	28.6	Two Island River	0	15	-42	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB02	SLB02.9	17	47.53669	33.4	Two Island River	0	15.2	-66	Lava Flow	SO-CMD-NORTH	269.06	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.1	17	47.534389	23.2	Two Island River	0	0.6	-74	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.2	17	47.534389	27.2	Two Island River	0	0.5	-75	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.3	17	47.534389	27.1	Two Island River	0	0.6	-72	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.4	17	47.534389	44.4	Two Island River	0	0.4	-46	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.5	17	47.534389	47.0	Two Island River	0	0.4	-45	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.6	17	47.534389	161.0	Two Island River	0	0.7	-21	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.7	17	47.534389	96.5	Two Island River	0	0.6	-91	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB03	SLB03.8	17	47.534389	97.2	Two Island River	0	0.6	-87	Lava Flow	SO-CMD-NORTH	269.065	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.1	17	47.534168	57.7	Two Island River	0	0.9	-8	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.2	17	47.534168	14.7	Two Island River	0	0.9	-11	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.3	17	47.534168	206.5	Two Island River	0	0.7	-5	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.4	17	47.534168	277.0	Two Island River	0	0.7	-6	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.5	17	47.534168	295.4	Two Island River	0	1.1	-28	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.6	17	47.534168	316.8	Two Island River	0	1.2	-14	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.7	17	47.534168	213.3	Two Island River	0	1.5	-3	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB04	SLB04.8	17	47.534168	281.5	Two Island River	0	1.6	-7	Lava Flow	SO-CMD-NORTH	269.06516	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.1	17	47.534149	296.6	Two Island River	0	1.3	-6	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.2	17	47.534149	316.8	Two Island River	0	1.2	-14	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.3	17	47.534149	0.3	Two Island River	0	1.1	-16	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.4	17	47.534149	296.1	Two Island River	0	1.2	-4	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.6	17	47.534149	251.2	Two Island River	0	1.6	-22	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.7	17	47.534149	347.2	Two Island River	0	1.8	-26	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.8	17	47.534149	345.1	Two Island River	0	2	-29	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB05	SLB05.9	17	47.534149	283.8	Two Island River	0	2.1	-24	Lava Flow	SO-CMD-NORTH	269.06503	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.1	17	47.534351	51.2	Two Island River	0	1.3	-41	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.2	17	47.534351	149.6	Two Island River	0	1.2	-60	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.3	17	47.534351	70.9	Two Island River	0	0.7	-16	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.4	17	47.534351	12.2	Two Island River	0	1.8	-19	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.5	17	47.534351	350.1	Two Island River	0	1.8	-13	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.6	17	47.534351	262.4	Two Island River	0	2	-33	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.7	17	47.534351	329.4	Two Island River	0	2.1	-3	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.8	17	47.534351	59.8	Two Island River	0	1.2	-30	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB06	SLB06.9	17	47.534351	193.7	Two Island River	0	1.1	-14	Lava Flow	SO-CMD-NORTH	269.06494	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.1	17	47.533699	97.7	Two Island River	0	0.3	-69	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.10	17	47.533699	359.8	Two Island River	0	4.2	-25	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.2	17	47.533699	69.0	Two Island River	0	0.3	-73	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.3	17	47.533699	86.0	Two Island River	0	0.8	-68	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.4	17	47.533699	103.8	Two Island River	0	1.3	-71	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.5	17	47.533699	123.1	Two Island River	0	1.5	-89	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.7	17	47.533699	359.7	Two Island River	0	4.5	-14	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.8	17	47.533699	339.5	Two Island River	0	4.4	-18	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB07	SLB07.9	17	47.533699	346.8	Two Island River	0	4.4	-20	Lava Flow	SO-CMD-NORTH	269.06558	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.1	17	47.533279	52.0	Two Island River	0	0.2	-76	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.10	17	47.533279	353.7	Two Island River	0	0.6	-57	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.2	17	47.533279	52.8	Two Island River	0	0.3	-77	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.3	17	47.533279	45.7	Two Island River	0	0.4	-57	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.4	17	47.533279	57.7	Two Island River	0	0.5	-65	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.5	17	47.533279	69.6	Two Island River	0	0.6	-62	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.6	17	47.533279	47.0	Two Island River	0	0.6	-70	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.7	17	47.533279	45.5	Two Island River	0	0.4	-59	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.8	17	47.533279	39.2	Two Island River	0	0.4	-86	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB08	SLB08.9	17	47.533279	36.3	Two Island River	0	0.3	-87	Lava Flow	SO-CMD-NORTH	269.0657	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB09	SLB09.1	17	47.53289	325.5	Two Island River	0	0.6	-64	Lava Flow	SO-CMD-NORTH	269.06589	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB09	SLB09.3	17	47.53289	346.5	Two Island River	0	0.6	-32	Lava Flow	SO-CMD-NORTH	269.06589	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB09	SLB09.4	17	47.53289	15.4	Two Island River	0	0.9	-38	Lava Flow	SO-CMD-NORTH	269.06589	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB09	SLB09.5	17	47.53289	13.0	Two Island River	0	0.9	-40	Lava Flow	SO-CMD-NORTH	269.06589	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB09	SLB09.6	17	47.53289	358.0	Two Island River	0	0.8	-37	Lava Flow	SO-CMD-NORTH	269.06589	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB09	SLB09.7	17	47.53289	356.8	Two Island River	0	1	-36	Lava Flow	SO-CMD-NORTH	269.06589	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB09	SLB09.8	17	47.53289	351.9	Two Island River	0	0.3	-54	Lava Flow	SO-CMD-NORTH	269.06589	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.1	17	47.532509	6.8	Two Island River	0	0.6	-26	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	113.0	This study	Basalt	SLB10	SLB10.10	42	47.532509	274.3	Two Island River	0	0	-185	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.2	17	47.532509	342.4	Two Island River	0	0.8	-38	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.3	17	47.532509	351.1	Two Island River	0	0.7	-37	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.4	17	47.532509	338.1	Two Island River	0	1.1	-37	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.5	17	47.532509	137.0	Two Island River	0	1.7	-68	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.6	17	47.532509	133.3	Two Island River	0	1.8	-75	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.7	17	47.532509	95.0	Two Island River	0	3.3	-31	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB10	SLB10.8	17	47.532509	105.2	Two Island River	0	3.4	-32	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	135.0	This study	Basalt	SLB10	SLB10.9	42	47.532509	274.2	Two Island River	0	0	-217	Lava Flow	SO-CMD-NORTH	269.06656	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.1	17	47.53223	331.8	Two Island River	0	1.7	-36	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.2	17	47.53223	72.7	Two Island River	0	2.1	-67	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.3	17	47.53223	345.5	Two Island River	0	2.3	-17	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.4	17	47.53223	77.1	Two Island River	0	2.9	-12	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.5	17	47.53223	3.8	Two Island River	0	3	-16	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.6	17	47.53223	25.9	Two Island River	0	3.1	-11	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.7	17	47.53223	26.8	Two Island River	0	3	-7	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.8	17	47.53223	5.1	Two Island River	0	3	-8	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB11	SLB11.9	17	47.53223	307.5	Two Island River	0	3.1	-15	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.1	17	47.53223	265.6	Two Island River	0	0.8	-27	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.2	17	47.53223	91.6	Two Island River	0	1.5	-19	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.3	17	47.53223	93.8	Two Island River	0	1.5	-16	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.4	17	47.53223	96.5	Two Island River	0	1.6	-16	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.5	17	47.53223	250.1	Two Island River	0	1.5	-2	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.6	17	47.53223	323.6	Two Island River	0	1.5	-4	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.7	17	47.53223	103.6	Two Island River	0	1.6	-19	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.8	17	47.53223	80.2	Two Island River	0	1.7	-17	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB12	SLB12.9	17	47.53223	80.3	Two Island River	0	2.4	-32	Lava Flow	SO-CMD-NORTH	269.0665	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.1	17	47.531761	165.5	Two Island River	0	0.8	-78	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.2	17	47.531761	166.0	Two Island River	0	0.9	-77	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.3	17	47.531761	165.8	Two Island River	0	0.9	-83	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.4	17	47.531761	54.3	Two Island River	0	0.8	-24	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.5	17	47.531761	50.6	Two Island River	0	1.4	-43	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.6	17	47.531761	59.2	Two Island River	0	1.4	-46	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.7	17	47.531761	54.7	Two Island River	0	1.4	-49	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB13	SLB13.8	17	47.531761	97.0	Two Island River	0	1	-13	Lava Flow	SO-CMD-NORTH	269.06705	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.1	17	47.531109	292.0	Two Island River	0	0.8	-41	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.2	17	47.531109	359.0	Two Island River	0	1	-8	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.3	17	47.531109	29.0	Two Island River	0	1.2	-23	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.4	17	47.531109	227.0	Two Island River	0	1.3	-15	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.5	17	47.531109	253.0	Two Island River	0	1.3	-21	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.6	17	47.531109	138.0	Two Island River	0	1.5	-21	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.7	17	47.531109	141.0	Two Island River	0	1.5	-18	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.8	17	47.531109	95.0	Two Island River	0	1.7	-11	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB14	SLB14.9	17	47.531109	260.0	Two Island River	0	1.6	-51	Lava Flow	SO-CMD-NORTH	269.06747	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB15	SLB15.1	17	47.530918	15.0	Two Island River	0	15	-27	Lava Flow	SO-CMD-NORTH	269.06848	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB15	SLB15.2	17	47.530918	41.0	Two Island River	0	15.1	-42	Lava Flow	SO-CMD-NORTH	269.06848	Extrusive
Schroeder-Lutsen basalts	132.0	This study	Basalt	SLB15	SLB15.3	17	47.530918	33.3	Two Island River	0	15.2	-34	Lava Flow	SO-CMD-NORTH	269.06848	Extrusive
